country,Code,population,Class,Category,HDI (2018),IHDI (2018),Gini Coefficient(%),Year and survey,Population in Multidimensional poverty (%),Population Vulnerable to Multidimensional poverty (%),Last CPI,Previous CPI,Reference last CPI,last_percent_change_CPI,HAQ_Index,Year_HAQ,"('thousands', 'Accommodation and food service activities')","('thousands', 'Agriculture, Forestry and Fishing')","('thousands', 'Construction')","('thousands', 'Education')","('thousands', 'Finantial and insurance activities')","('thousands', 'Human health and social work activities')","('thousands', 'Manufacturing')","('thousands', 'Mining and Quarrying')","('thousands', 'Other services')","('thousands', 'Public administration and defense; Compulsory social security')","('thousands', 'Real state; Business and administrative activities')","('thousands', 'Total')","('thousands', 'Transport; Storage and Communication')","('thousands', 'Utilities')","('thousands', 'Wholesale and retail trade; repair of motor vehicles')",High impacted sectors (thousands),Medium-high impacted sectors (thousands),Medium impacted sectors (thousands),Low-medium impacted sectors (thousands),Low impacted sectors (thousands),"('percent', 'Accommodation and food service activities')","('percent', 'Agriculture, Forestry and Fishing')","('percent', 'Construction')","('percent', 'Education')","('percent', 'Finantial and insurance activities')","('percent', 'Human health and social work activities')","('percent', 'Manufacturing')","('percent', 'Mining and Quarrying')","('percent', 'Other services')","('percent', 'Public administration and defense; Compulsory social security')","('percent', 'Real state; Business and administrative activities')","('percent', 'Total')","('percent', 'Transport; Storage and Communication')","('percent', 'Utilities')","('percent', 'Wholesale and retail trade; repair of motor vehicles')",Normalized_Confirmed,High impacted sectors (percent),Medium-high impacted sectors (percent),Medium impacted sectors (percent),Low-medium impacted sectors (percent),Low impacted sectors (percent),S1_SIX,S2_SIX,S3_SIX,S4_SIX,S5_SIX,S6_SIX,S7_SIX,S_1,S_10,S_11,S_12,S_13,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,StringencyIx,date_last_stringency,informality_rate,year,countrydesc,cip_2017,cipRank_2017
Azerbaijan,AZE,9939800.0,Upper_Middle_Income,high human development,0.753869,0.682927086,,,,,165.0,164.0,2020-02-01,0.609756,64.5,2015.0,81.712,1712.299,357.126,376.859,26.466,190.626,254.469,40.704,238.505,274.779,232.732,4822.305,270.132,69.094,696.8,1265.713,508.637,424.296,1712.299,911.358,0.016945,0.355079,0.074057,0.078149,0.005488,0.03953,0.052769,0.008441,0.049459,0.056981,0.048262,1.0,0.056017,0.014328,0.144495,152.72,0.262471,0.105476,0.087986,0.355079,0.188988,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,7.25,85.71,2020-04-23,,2017.0,Azerbaijan,0.009021018,115.0
Bahamas,,,,very high human development,0.805483,,,,,,108.0,109.0,2019-10-01,-0.91743,,,36.082,4.267,20.001,12.969,8.085,12.132,5.148,0.133,27.518,17.425,15.273,203.734,15.997,3.27,25.434,81.937,43.515,28.219,4.267,45.796,0.177103,0.020944,0.098172,0.063657,0.039684,0.059548,0.025268,0.000653,0.135068,0.085528,0.074965,1.0,0.078519,0.01605,0.124839,,0.402176,0.213587,0.138509,0.020944,0.224783,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Bahamas,0.007197205999999999,119.0
Bahrain,BHR,1569439.0,High_Income,very high human development,0.83777,,,,,,99.6,99.4,2020-02-01,0.201207,79.0,2015.0,52.957,9.814,236.429,37.685,25.707,5.373,114.983,2.792,144.476,124.296,65.152,1015.08,38.357,1.886,155.174,388.266,182.833,264.928,9.814,169.24,0.05217,0.009668,0.232917,0.037125,0.025325,0.005293,0.113275,0.002751,0.14233,0.122449,0.064184,1.0,0.037787,0.001858,0.152869,1278.8,0.382498,0.180117,0.260992,0.009668,0.166726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,80.95,2020-04-23,,2017.0,Bahrain,0.04936251,56.0
Bangladesh,BGD,161000000.0,Low_Income,medium human development,0.613679,0.464719349,32.4,2014 D,41.69722,21.41846,277.0,276.0,2020-03-01,0.362319,51.7,2015.0,1483.218,25754.2,3924.474,2638.952,516.121,567.482,10605.32,100.596,4232.266,1067.551,1008.613,68226.77,6373.962,138.255,9815.752,22912.9,10606.23,4541.191,25754.2,4412.24,0.02174,0.377479,0.057521,0.038679,0.007565,0.008318,0.155442,0.001474,0.062032,0.015647,0.014783,1.0,0.093423,0.002026,0.14387,23.38,0.335834,0.155456,0.06656,0.377479,0.06467,100.0,100.0,100.0,100.0,0.0,100.0,66.67,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,5.5,85.71,2020-04-23,,2017.0,Bangladesh,0.033570317999999995,72.0
Barbados,BRB,286641.0,High_Income,very high human development,0.81331,0.675419119,,2012 M,2.491337,0.491795,198.0,200.0,2020-01-01,-1.0,66.8,2015.0,18.231,3.543,14.49,7.548,5.817,7.516,9.327,0.397,16.67,10.464,8.775,138.266,11.977,1.956,21.555,57.888,28.647,20.704,3.543,27.484,0.131855,0.025625,0.104798,0.05459,0.042071,0.054359,0.067457,0.002871,0.120565,0.07568,0.063465,1.0,0.086623,0.014147,0.155895,265.14,0.418671,0.207188,0.14974,0.025625,0.198776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,-5.0,80.95,2020-04-23,,2017.0,Barbados,0.009694605,108.0
Belarus,BLR,,,very high human development,0.817068,0.765089239,25.4,,,,,,,,74.4,2015.0,94.275,511.336,375.629,504.147,74.864,386.906,813.588,25.978,178.353,241.375,211.304,4751.239,444.819,221.909,666.755,1785.922,623.172,476.471,511.336,1354.337,0.019842,0.107622,0.079059,0.106109,0.015757,0.081433,0.171237,0.005468,0.037538,0.050803,0.044473,1.0,0.093622,0.046706,0.140333,,0.375886,0.13116,0.100284,0.107622,0.285049,,,,,,,,,,,,,,,,,,,,,,,8.0,2017.0,Belarus,0.06693407700000001,46.0
Belgium,BEL,11433256.0,High_Income,very high human development,0.918841,0.848889434,27.7,,,,110.0,110.0,2020-03-01,0.0,87.9,2015.0,169.82,45.292,323.252,460.632,148.175,731.925,606.886,4.057,230.714,392.774,595.369,4842.011,433.943,65.562,633.612,2005.687,664.657,475.484,45.292,1650.893,0.035072,0.009354,0.06676,0.095132,0.030602,0.151161,0.125338,0.000838,0.047648,0.081118,0.122959,1.0,0.08962,0.01354,0.130857,3663.79,0.414226,0.137269,0.0982,0.009354,0.340952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,85.71,2020-04-23,,2017.0,Belgium,0.271605058,8.0
Belize,BLZ,383071.0,Upper_Middle_Income,high human development,0.72017,0.557675555,,2015/2016 M,4.303543,8.364768,105.0,105.0,2020-01-01,0.0,58.3,2015.0,25.484,28.5,11.584,11.968,3.468,4.544,13.631,0.524,16.76,10.319,8.746,171.794,7.335,1.303,27.63,75.491,24.095,15.576,28.5,28.134,0.14834,0.165896,0.06743,0.069665,0.020187,0.02645,0.079345,0.00305,0.097559,0.060066,0.05091,1.0,0.042696,0.007585,0.160832,46.99,0.439427,0.140255,0.090667,0.165896,0.163766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,2.3,76.19,2020-04-23,,2017.0,Belize,0.00530428,125.0
Benin,BEN,,,low human development,0.519834,0.327191548,47.8,2017/2018 D,66.79889,14.68622,104.0,104.0,2020-03-01,0.0,43.0,2015.0,98.272,1857.473,149.408,121.952,29.297,50.895,740.339,30.623,347.024,73.569,101.904,4893.012,225.338,13.988,1052.928,1993.443,572.362,209.328,1857.473,260.404,0.020084,0.379618,0.030535,0.024924,0.005988,0.010402,0.151305,0.006259,0.070922,0.015036,0.020826,1.0,0.046053,0.002859,0.21519,,0.407406,0.116975,0.042781,0.379618,0.05322,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,medium human development,0.617299,0.449720862,37.4,2010 M,37.34113,17.67595,102.0,102.0,2020-01-01,0.0,52.7,2015.0,10.053,206.957,7.927,10.971,3.086,12.62,29.015,2.128,17.438,27.898,4.359,378.895,14.149,2.874,29.421,72.848,31.587,13.141,206.957,54.363,0.026532,0.546212,0.020921,0.028955,0.008145,0.033307,0.076578,0.005616,0.046023,0.07363,0.011505,1.0,0.037343,0.007585,0.077649,,0.192264,0.083366,0.034682,0.546212,0.143478,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),,,,high human development,0.702842,0.532829621,44.0,2008 D,20.399,15.66472,104.0,104.0,2020-03-01,0.0,,,409.004,1711.895,414.745,252.008,45.06,134.946,566.146,92.713,260.306,143.141,210.861,5637.556,422.45,17.883,956.399,2142.41,682.756,552.518,1711.895,547.978,0.07255,0.303659,0.073568,0.044702,0.007993,0.023937,0.100424,0.016446,0.046174,0.025391,0.037403,1.0,0.074935,0.003172,0.169648,,0.380025,0.121109,0.098007,0.303659,0.097201,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Bolivia (Plurinational State of),0.01299024,100.0
Bosnia and Herzegovina,BIH,3323929.0,Upper_Middle_Income,high human development,0.769187,0.658372542,33.0,2011/2012 M,2.190134,4.074188,102.0,102.0,2020-02-01,0.0,78.2,2015.0,49.778,159.225,92.99,60.239,12.234,56.301,187.077,21.053,54.194,70.795,38.764,1055.315,72.369,39.88,140.416,416.035,126.563,126.277,159.225,227.215,0.047169,0.150879,0.088116,0.057082,0.011593,0.05335,0.177271,0.019949,0.051353,0.067084,0.036732,1.0,0.068576,0.03779,0.133056,411.26,0.394228,0.119929,0.119658,0.150879,0.215305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,95.24,2020-04-23,,2017.0,Bosnia and Herzegovina,0.026427693999999998,80.0
Botswana,BWA,2254126.0,Upper_Middle_Income,high human development,0.727787,,53.3,,,,103.0,103.0,2020-03-01,0.0,51.1,2015.0,21.249,184.158,76.39,50.394,11.8,24.366,49.397,24.792,89.314,154.774,92.936,903.374,26.172,12.975,84.656,248.238,115.486,112.982,184.158,242.509,0.023522,0.203856,0.084561,0.055784,0.013062,0.026972,0.054681,0.027444,0.098867,0.171329,0.102877,1.0,0.028971,0.014363,0.093711,9.76,0.27479,0.127839,0.125067,0.203856,0.268448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,4.75,100.0,2020-04-23,,2017.0,Botswana,0.020543506,88.0
Brazil,BRA,209000000.0,Upper_Middle_Income,high human development,0.761153,0.574351185,53.3,2015 N,3.841927,6.210795,5348.0,5345.0,2020-03-01,0.056127,64.9,2015.0,5781.687,8620.72,6787.61,6609.797,1245.213,4993.331,10419.98,406.382,11499.95,5146.942,8063.095,94524.32,6128.778,903.876,17916.95,42181.71,17628.73,8439.205,8620.72,17653.95,0.061166,0.091201,0.071808,0.069927,0.013173,0.052826,0.110236,0.004299,0.121661,0.054451,0.085302,1.0,0.064838,0.009562,0.189549,218.44,0.446252,0.186499,0.089281,0.091201,0.186766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,3.75,76.19,2020-04-23,36.9,2017.0,Brazil,0.097473775,35.0
Brunei Darussalam,,,,very high human development,0.844587,,,,,,100.0,100.0,2020-02-01,0.0,,,13.651,2.683,10.463,18.442,4.631,6.206,7.356,10.755,16.299,50.077,15.325,199.078,11.038,2.926,29.225,65.557,27.337,25.849,2.683,77.651,0.068571,0.013477,0.052557,0.092637,0.023262,0.031174,0.03695,0.054024,0.081872,0.251545,0.07698,1.0,0.055446,0.014698,0.146802,,0.329303,0.137318,0.129844,0.013477,0.390053,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Brunei Darussalam,0.02197597,85.0
Bulgaria,BGR,7025037.0,Upper_Middle_Income,very high human development,0.815711,0.713532123,37.4,,,,7188.0,7234.0,2020-03-01,-0.63589,71.4,2015.0,175.096,197.156,254.787,180.96,64.068,165.057,589.287,30.214,112.353,213.308,252.888,3148.954,309.002,73.13,531.649,1548.92,421.355,349.069,197.156,632.455,0.055604,0.06261,0.080912,0.057467,0.020346,0.052416,0.187137,0.009595,0.035679,0.067739,0.080309,1.0,0.098128,0.023224,0.168834,145.76,0.491884,0.133808,0.110852,0.06261,0.200846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,80.95,2020-04-23,,2017.0,Bulgaria,0.054079006,55.0
Burkina Faso,BFA,19751535.0,Low_Income,low human development,0.433547,0.303226657,35.3,2010 D,83.83444,7.446399,102.0,101.0,2020-02-01,0.990099,42.9,2015.0,314.217,1778.327,385.82,146.765,13.379,59.055,1191.328,857.376,529.675,83.975,50.395,7213.629,123.015,12.86,1667.443,3223.383,652.69,1256.575,1778.327,302.655,0.043559,0.246523,0.053485,0.020346,0.001855,0.008187,0.16515,0.118855,0.073427,0.011641,0.006986,1.0,0.017053,0.001783,0.231152,30.83,0.446846,0.09048,0.174195,0.246523,0.041956,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,15234800.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,4.5,95.24,2020-04-23,,,,,
Burundi,BDI,11175378.0,Low_Income,low human development,0.422882,0.295759889,38.6,2016/2017 D,74.25478,16.28149,116.0,114.0,2020-01-01,1.754386,40.4,2015.0,9.498,4671.309,24.736,17.966,5.63,8.26,43.222,2.056,41.592,102.095,29.081,5075.698,13.646,2.594,104.013,185.814,55.238,32.422,4671.309,130.915,0.001871,0.920328,0.004873,0.00354,0.001109,0.001627,0.008515,0.000405,0.008194,0.020114,0.005729,1.0,0.002688,0.000511,0.020492,0.98,0.036609,0.010883,0.006388,0.920328,0.025793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,28.57,2020-04-23,,2017.0,Burundi,0.0,148.0
Cabo Verde,,,,medium human development,0.650693,,47.2,,,,102.0,102.0,2020-03-01,0.0,,,17.66,23.633,22.773,14.327,1.698,4.737,20.131,1.457,21.123,21.883,10.86,212.462,14.237,2.582,35.36,84.011,35.36,25.928,23.633,43.529,0.083121,0.111234,0.107186,0.067433,0.007992,0.022296,0.094751,0.006858,0.09942,0.102997,0.051115,1.0,0.06701,0.012153,0.16643,,0.395417,0.16643,0.122036,0.111234,0.204879,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Cabo Verde,0.003060336,135.0
Cambodia,KHM,,,medium human development,0.581485,0.464576679,,2014 D,37.18569,21.12522,180.0,178.0,2019-12-01,1.123596,50.7,2015.0,433.95,2943.046,953.21,199.004,91.832,59.436,1772.81,22.585,217.519,313.394,563.944,9447.071,524.801,51.46,1300.08,4070.784,742.32,1067.627,2943.046,623.294,0.045935,0.31153,0.1009,0.021065,0.009721,0.006291,0.187657,0.002391,0.023025,0.033174,0.059695,1.0,0.055552,0.005447,0.137617,,0.430904,0.078577,0.113011,0.31153,0.065977,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Cambodia,0.02029675,89.0
Cameroon,CMR,25216237.0,Lower_Middle_Income,medium human development,0.562725,0.370721733,46.6,2014 M,45.32648,17.2902,116.0,116.0,2019-12-01,0.0,44.4,2015.0,537.495,4834.699,349.535,420.71,75.647,193.778,1229.091,71.622,559.465,206.365,186.709,11278.46,728.609,47.697,1837.043,3790.338,1288.074,496.804,4834.699,868.55,0.047657,0.428666,0.030991,0.037302,0.006707,0.017181,0.108977,0.00635,0.049605,0.018297,0.016554,1.0,0.064602,0.004229,0.162881,46.12,0.336069,0.114207,0.044049,0.428666,0.07701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,76.19,2020-04-23,,2017.0,Cameroon,0.008299954,117.0
Canada,CAN,37057765.0,High_Income,very high human development,0.922111,0.84123451,34.0,,,,137.0,137.0,2020-02-01,0.0,87.6,2015.0,1206.628,277.111,1506.324,1758.979,1026.175,2676.424,1760.825,297.959,1247.489,1414.194,2025.921,19504.12,1267.864,217.859,2820.37,7813.744,2515.353,2830.458,277.111,6067.456,0.061865,0.014208,0.077231,0.090185,0.052613,0.137224,0.09028,0.015277,0.06396,0.072507,0.103871,1.0,0.065005,0.01117,0.144604,1084.23,0.40062,0.128965,0.145121,0.014208,0.311086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.25,85.71,2020-04-23,,2017.0,Canada,0.203804884,18.0
Central African Republic,CAF,,,low human development,0.380662,0.222308472,56.2,2010 M,79.36029,13.1219,,,,,28.6,2015.0,20.194,1456.207,24.546,26.72,3.214,8.968,69.253,5.501,45.206,20.635,10.206,1889.191,21.014,3.011,174.517,274.17,66.22,33.261,1456.207,59.334,0.010689,0.77081,0.012993,0.014144,0.001701,0.004747,0.036657,0.002912,0.023929,0.010923,0.005402,1.0,0.011123,0.001594,0.092377,,0.145126,0.035052,0.017606,0.77081,0.031407,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Central African Republic,0.004564551,128.0
Chad,TCD,15477751.0,Low_Income,low human development,0.401176,0.249796706,43.3,2014/2015 D,85.67318,9.867773,106.0,105.0,2020-01-01,0.952381,37.7,2015.0,71.288,4646.15,46.914,79.746,19.468,32.841,67.021,13.014,164.837,44.688,64.142,6090.73,108.302,1.214,731.104,933.555,273.139,79.396,4646.15,158.489,0.011704,0.762823,0.007703,0.013093,0.003196,0.005392,0.011004,0.002137,0.027064,0.007337,0.010531,1.0,0.017781,0.000199,0.120036,2.2,0.153275,0.044845,0.013036,0.762823,0.026021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,3.4,66.67,2020-04-23,,,,,
Chile,CHL,18729160.0,High_Income,very high human development,0.846948,0.696111002,46.6,,,,105.0,105.0,2020-03-01,0.0,76.0,2015.0,411.701,789.978,759.153,803.416,176.958,519.751,897.799,229.659,743.364,494.355,619.19,9004.554,797.646,98.029,1663.556,3592.246,1541.01,1165.77,789.978,1915.551,0.045721,0.087731,0.084308,0.089223,0.019652,0.057721,0.099705,0.025505,0.082554,0.054901,0.068764,1.0,0.088583,0.010887,0.184746,603.12,0.398937,0.171137,0.129464,0.087731,0.212731,100.0,66.67,0.0,0.0,0.0,66.67,66.67,2.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,71.43,2020-04-23,28.3,2017.0,Chile,0.060209043,52.0
