"OPERATOR","ADesc","Ccode","CDesc","ACode"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","608","Philippines","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","626","Timor-Leste","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","682","Saudi Arabia","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","704","Viet Nam","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","760","Syrian Arab Republic","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","762","Tajikistan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","764","Thailand","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","776","Tonga","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","795","Turkmenistan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","798","Tuvalu","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","860","Uzbekistan","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","882","Samoa","900"
"A","Asia & Pacific (excl. China) <Dev.& EIEs>","887","Yemen","900"
"A","Low Income","004","Afghanistan","907"
"A","Low Income","050","Bangladesh","907"
"A","Low Income","104","Myanmar","907"
"A","Low Income","108","Burundi","907"
"A","Low Income","116","Cambodia","907"
"A","Low Income","140","Central African Republic","907"
"A","Low Income","148","Chad","907"
"A","Low Income","174","Comoros","907"
"A","Low Income","180","Democratic Rep of the Congo","907"
"A","Low Income","204","Benin","907"
"A","Low Income","231","Ethiopia","907"
"A","Low Income","232","Eritrea","907"
"A","Low Income","270","Gambia","907"
"A","Low Income","324","Guinea","907"
"A","Low Income","332","Haiti","907"
"A","Low Income","404","Kenya","907"
"A","Low Income","408","Democratic People's Rep of Korea","907"
"A","Low Income","430","Liberia","907"
"A","Low Income","450","Madagascar","907"
"A","Low Income","454","Malawi","907"
"A","Low Income","466","Mali","907"
"A","Low Income","508","Mozambique","907"
"A","Low Income","524","Nepal","907"
"A","Low Income","562","Niger","907"
"A","Low Income","624","Guinea-Bissau","907"
"A","Low Income","646","Rwanda","907"
"A","Low Income","694","Sierra Leone","907"
"A","Low Income","706","Somalia","907"
"A","Low Income","716","Zimbabwe","907"
"A","Low Income","762","Tajikistan","907"
"A","Low Income","768","Togo","907"
"A","Low Income","800","Uganda","907"
"A","Low Income","834","United Republic of Tanzania","907"
"A","Low Income","854","Burkina Faso","907"
"A","Upper Middle Income (excl.China)","008","Albania","908"
"A","Upper Middle Income (excl.China)","012","Algeria","908"
"A","Upper Middle Income (excl.China)","024","Angola","908"
"A","Upper Middle Income (excl.China)","031","Azerbaijan","908"
"A","Upper Middle Income (excl.China)","032","Argentina","908"
"A","Upper Middle Income (excl.China)","070","Bosnia and Herzegovina","908"
"A","Upper Middle Income (excl.China)","072","Botswana","908"
"A","Upper Middle Income (excl.China)","076","Brazil","908"
"A","Upper Middle Income (excl.China)","084","Belize","908"
"A","Upper Middle Income (excl.China)","100","Bulgaria","908"
"A","Upper Middle Income (excl.China)","112","Belarus","908"
"A","Upper Middle Income (excl.China)","170","Colombia","908"
"A","Upper Middle Income (excl.China)","188","Costa Rica","908"
"A","Upper Middle Income (excl.China)","192","Cuba","908"
"A","Upper Middle Income (excl.China)","212","Dominica","908"
"A","Upper Middle Income (excl.China)","214","Dominican Republic","908"
"A","Upper Middle Income (excl.China)","218","Ecuador","908"
"A","Upper Middle Income (excl.China)","242","Fiji","908"
"A","Upper Middle Income (excl.China)","266","Gabon","908"
"A","Upper Middle Income (excl.China)","308","Grenada","908"
"A","Upper Middle Income (excl.China)","348","Hungary","908"
"A","Upper Middle Income (excl.China)","364","Iran (Islamic Republic of)","908"
"A","Upper Middle Income (excl.China)","368","Iraq","908"
"A","Upper Middle Income (excl.China)","388","Jamaica","908"
"A","Upper Middle Income (excl.China)","398","Kazakhstan","908"
"A","Upper Middle Income (excl.China)","400","Jordan","908"
"A","Upper Middle Income (excl.China)","422","Lebanon","908"
"A","Upper Middle Income (excl.China)","434","Libya","908"
"A","Upper Middle Income (excl.China)","458","Malaysia","908"
"A","Upper Middle Income (excl.China)","462","Maldives","908"
"A","Upper Middle Income (excl.China)","480","Mauritius","908"
"A","Upper Middle Income (excl.China)","484","Mexico","908"
"A","Upper Middle Income (excl.China)","499","Montenegro","908"
"A","Upper Middle Income (excl.China)","516","Namibia","908"
"A","Upper Middle Income (excl.China)","584","Marshall Islands","908"
"A","Upper Middle Income (excl.China)","585","Palau","908"
"A","Upper Middle Income (excl.China)","590","Panama","908"
"A","Upper Middle Income (excl.China)","604","Peru","908"
"A","Upper Middle Income (excl.China)","642","Romania","908"
"A","Upper Middle Income (excl.China)","662","Saint Lucia","908"
"A","Upper Middle Income (excl.China)","670","Saint Vincent and the Grenadines","908"
"A","Upper Middle Income (excl.China)","688","Serbia","908"
"A","Upper Middle Income (excl.China)","690","Seychelles","908"
"A","Upper Middle Income (excl.China)","710","South Africa","908"
"A","Upper Middle Income (excl.China)","740","Suriname","908"
"A","Upper Middle Income (excl.China)","764","Thailand","908"
"A","Upper Middle Income (excl.China)","776","Tonga","908"
"A","Upper Middle Income (excl.China)","788","Tunisia","908"
"A","Upper Middle Income (excl.China)","792","Turkey","908"
"A","Upper Middle Income (excl.China)","795","Turkmenistan","908"
"A","Upper Middle Income (excl.China)","798","Tuvalu","908"
"A","Upper Middle Income (excl.China)","807","North Macedonia","908"
"A","Upper Middle Income (excl.China)","862","Venezuela (Bolivarian Republic of)","908"
"A","High Income","020","Andorra","909"
"A","High Income","028","Antigua and Barbuda","909"
"A","High Income","036","Australia","909"
"A","High Income","040","Austria","909"
"A","High Income","044","Bahamas","909"
"A","High Income","048","Bahrain","909"
"A","High Income","052","Barbados","909"
"A","High Income","056","Belgium","909"
"A","High Income","060","Bermuda","909"
"A","High Income","096","Brunei Darussalam","909"
"A","High Income","124","Canada","909"
"A","High Income","136","Cayman Islands","909"
"A","High Income","152","Chile","909"
"A","High Income","158","China, Taiwan Province","909"
"A","High Income","191","Croatia","909"
"A","High Income","196","Cyprus","909"
"A","High Income","203","Czechia","909"
"A","High Income","208","Denmark","909"
"A","High Income","226","Equatorial Guinea","909"
"A","High Income","233","Estonia","909"
"A","High Income","246","Finland","909"
"A","High Income","250","France","909"
"A","High Income","258","French Polynesia","909"
"A","High Income","276","Germany","909"
"A","High Income","300","Greece","909"
"A","High Income","304","Greenland","909"
"A","High Income","344","China, Hong Kong SAR","909"
"A","High Income","352","Iceland","909"
"A","High Income","372","Ireland","909"
"A","High Income","376","Israel","909"
"A","High Income","380","Italy","909"
"A","High Income","392","Japan","909"
"A","High Income","410","Republic of Korea","909"
"A","High Income","414","Kuwait","909"
"A","High Income","428","Latvia","909"
"A","High Income","438","Liechtenstein","909"
"A","High Income","440","Lithuania","909"
"A","High Income","442","Luxembourg","909"
"A","High Income","446","China, Macao SAR","909"
"A","High Income","470","Malta","909"
"A","High Income","492","Monaco","909"
"A","High Income","512","Oman","909"
"A","High Income","528","Netherlands","909"
"A","High Income","531","Curaçao","909"
"A","High Income","533","Aruba","909"
"A","High Income","540","New Caledonia","909"
"A","High Income","554","New Zealand","909"
"A","High Income","578","Norway","909"
"A","High Income","616","Poland","909"
"A","High Income","620","Portugal","909"
"A","High Income","630","Puerto Rico","909"
"A","High Income","634","Qatar","909"
"A","High Income","643","Russian Federation","909"
"A","High Income","659","Saint Kitts and Nevis","909"
"A","High Income","660","Anguilla","909"
"A","High Income","674","San Marino","909"
"A","High Income","682","Saudi Arabia","909"
"A","High Income","702","Singapore","909"
"A","High Income","703","Slovakia","909"
"A","High Income","705","Slovenia","909"
"A","High Income","724","Spain","909"
"A","High Income","752","Sweden","909"
"A","High Income","756","Switzerland","909"
"A","High Income","780","Trinidad and Tobago","909"
"A","High Income","784","United Arab Emirates","909"
"A","High Income","826","United Kingdom","909"
"A","High Income","840","United States of America","909"
"A","High Income","858","Uruguay","909"
"A","Lower Middle Income","051","Armenia","910"
"A","Lower Middle Income","064","Bhutan","910"
"A","Lower Middle Income","068","Bolivia (Plurinational State of)","910"
"A","Lower Middle Income","090","Solomon Islands","910"
"A","Lower Middle Income","120","Cameroon","910"
"A","Lower Middle Income","132","Cabo Verde","910"
"A","Lower Middle Income","144","Sri Lanka","910"
"A","Lower Middle Income","178","Congo","910"
"A","Lower Middle Income","222","El Salvador","910"
"A","Lower Middle Income","262","Djibouti","910"
"A","Lower Middle Income","268","Georgia","910"
"A","Lower Middle Income","275","State of Palestine","910"
"A","Lower Middle Income","288","Ghana","910"
"A","Lower Middle Income","296","Kiribati","910"
"A","Lower Middle Income","320","Guatemala","910"
"A","Lower Middle Income","328","Guyana","910"
"A","Lower Middle Income","340","Honduras","910"
"A","Lower Middle Income","356","India","910"
"A","Lower Middle Income","360","Indonesia","910"
"A","Lower Middle Income","384","Côte d'Ivoire","910"
"A","Lower Middle Income","417","Kyrgyzstan","910"
"A","Lower Middle Income","418","Lao People's Dem Rep","910"
"A","Lower Middle Income","426","Lesotho","910"
"A","Lower Middle Income","478","Mauritania","910"
"A","Lower Middle Income","496","Mongolia","910"
"A","Lower Middle Income","498","Republic of Moldova","910"
"A","Lower Middle Income","504","Morocco","910"
"A","Lower Middle Income","548","Vanuatu","910"
"A","Lower Middle Income","558","Nicaragua","910"
"A","Lower Middle Income","566","Nigeria","910"
"A","Lower Middle Income","586","Pakistan","910"
"A","Lower Middle Income","598","Papua New Guinea","910"
"A","Lower Middle Income","600","Paraguay","910"
"A","Lower Middle Income","608","Philippines","910"
"A","Lower Middle Income","626","Timor-Leste","910"
"A","Lower Middle Income","678","Sao Tome and Principe","910"
"A","Lower Middle Income","686","Senegal","910"
"A","Lower Middle Income","704","Viet Nam","910"
"A","Lower Middle Income","729","Sudan","910"
"A","Lower Middle Income","748","Swaziland","910"
"A","Lower Middle Income","760","Syrian Arab Republic","910"
"A","Lower Middle Income","804","Ukraine","910"
"A","Lower Middle Income","818","Egypt","910"
"A","Lower Middle Income","860","Uzbekistan","910"
"A","Lower Middle Income","882","Samoa","910"
"A","Lower Middle Income","887","Yemen","910"
"A","Lower Middle Income","894","Zambia","910"
"A","Upper Middle Income","008","Albania","911"
"A","Upper Middle Income","012","Algeria","911"
"A","Upper Middle Income","024","Angola","911"
"A","Upper Middle Income","031","Azerbaijan","911"
"A","Upper Middle Income","032","Argentina","911"
"A","Upper Middle Income","070","Bosnia and Herzegovina","911"
"A","Upper Middle Income","072","Botswana","911"
"A","Upper Middle Income","076","Brazil","911"
"A","Upper Middle Income","084","Belize","911"
"A","Upper Middle Income","100","Bulgaria","911"
"A","Upper Middle Income","112","Belarus","911"
"A","Upper Middle Income","156","China","911"
"A","Upper Middle Income","170","Colombia","911"
"A","Upper Middle Income","188","Costa Rica","911"
"A","Upper Middle Income","192","Cuba","911"
"A","Upper Middle Income","212","Dominica","911"
"A","Upper Middle Income","214","Dominican Republic","911"
"A","Upper Middle Income","218","Ecuador","911"
"A","Upper Middle Income","242","Fiji","911"
"A","Upper Middle Income","266","Gabon","911"
"A","Upper Middle Income","308","Grenada","911"
"A","Upper Middle Income","348","Hungary","911"
"A","Upper Middle Income","364","Iran (Islamic Republic of)","911"
"A","Upper Middle Income","368","Iraq","911"
"A","Upper Middle Income","388","Jamaica","911"
"A","Upper Middle Income","398","Kazakhstan","911"
"A","Upper Middle Income","400","Jordan","911"
"A","Upper Middle Income","422","Lebanon","911"
"A","Upper Middle Income","434","Libya","911"
"A","Upper Middle Income","458","Malaysia","911"
"A","Upper Middle Income","462","Maldives","911"
"A","Upper Middle Income","480","Mauritius","911"
"A","Upper Middle Income","484","Mexico","911"
"A","Upper Middle Income","499","Montenegro","911"
"A","Upper Middle Income","516","Namibia","911"
"A","Upper Middle Income","584","Marshall Islands","911"
"A","Upper Middle Income","585","Palau","911"
"A","Upper Middle Income","590","Panama","911"
"A","Upper Middle Income","604","Peru","911"
"A","Upper Middle Income","642","Romania","911"
"A","Upper Middle Income","662","Saint Lucia","911"
"A","Upper Middle Income","670","Saint Vincent and the Grenadines","911"
"A","Upper Middle Income","688","Serbia","911"
"A","Upper Middle Income","690","Seychelles","911"
"A","Upper Middle Income","710","South Africa","911"
"A","Upper Middle Income","740","Suriname","911"
"A","Upper Middle Income","764","Thailand","911"
"A","Upper Middle Income","776","Tonga","911"
"A","Upper Middle Income","788","Tunisia","911"
"A","Upper Middle Income","792","Turkey","911"
"A","Upper Middle Income","795","Turkmenistan","911"
"A","Upper Middle Income","798","Tuvalu","911"
"A","Upper Middle Income","807","North Macedonia","911"
"A","Upper Middle Income","862","Venezuela (Bolivarian Republic of)","911"
"A","East Asia <Industrialized>","158","China, Taiwan Province","935"
"A","East Asia <Industrialized>","344","China, Hong Kong SAR","935"
"A","East Asia <Industrialized>","392","Japan","935"
"A","East Asia <Industrialized>","410","Republic of Korea","935"
"A","East Asia <Industrialized>","446","China, Macao SAR","935"
"A","East Asia <Industrialized>","458","Malaysia","935"
"A","East Asia <Industrialized>","702","Singapore","935"
"A","North America","060","Bermuda","937"
"A","North America","124","Canada","937"
"A","North America","304","Greenland","937"
"A","North America","840","United States of America","937"
"A","EU","040","Austria","938"
"A","EU","056","Belgium","938"
"A","EU","100","Bulgaria","938"
"A","EU","191","Croatia","938"
"A","EU","196","Cyprus","938"
"A","EU","203","Czechia","938"
"A","EU","208","Denmark","938"
"A","EU","233","Estonia","938"
"A","EU","246","Finland","938"
"A","EU","250","France","938"
"A","EU","276","Germany","938"
"A","EU","300","Greece","938"
"A","EU","348","Hungary","938"
"A","EU","372","Ireland","938"
"A","EU","380","Italy","938"
"A","EU","428","Latvia","938"
"A","EU","440","Lithuania","938"
"A","EU","442","Luxembourg","938"
"A","EU","470","Malta","938"
"A","EU","528","Netherlands","938"
"A","EU","616","Poland","938"
"A","EU","620","Portugal","938"
"A","EU","642","Romania","938"
"A","EU","703","Slovakia","938"
"A","EU","705","Slovenia","938"
"A","EU","724","Spain","938"
"A","EU","752","Sweden","938"
"A","EU","826","United Kingdom","938"
"A","Latin America <Developing & EIEs>","028","Antigua and Barbuda","957"
"A","Latin America <Developing & EIEs>","032","Argentina","957"
"A","Latin America <Developing & EIEs>","044","Bahamas","957"
"A","Latin America <Developing & EIEs>","052","Barbados","957"
"A","Latin America <Developing & EIEs>","068","Bolivia (Plurinational State of)","957"
"A","Latin America <Developing & EIEs>","076","Brazil","957"
"A","Latin America <Developing & EIEs>","084","Belize","957"
"A","Latin America <Developing & EIEs>","152","Chile","957"
"A","Latin America <Developing & EIEs>","170","Colombia","957"
"A","Latin America <Developing & EIEs>","188","Costa Rica","957"
"A","Latin America <Developing & EIEs>","192","Cuba","957"
"A","Latin America <Developing & EIEs>","212","Dominica","957"
"A","Latin America <Developing & EIEs>","214","Dominican Republic","957"
"A","Latin America <Developing & EIEs>","218","Ecuador","957"
"A","Latin America <Developing & EIEs>","222","El Salvador","957"
"A","Latin America <Developing & EIEs>","308","Grenada","957"
"A","Latin America <Developing & EIEs>","320","Guatemala","957"
"A","Latin America <Developing & EIEs>","328","Guyana","957"
"A","Latin America <Developing & EIEs>","332","Haiti","957"
"A","Latin America <Developing & EIEs>","340","Honduras","957"
"A","Latin America <Developing & EIEs>","388","Jamaica","957"
"A","Latin America <Developing & EIEs>","484","Mexico","957"
"A","Latin America <Developing & EIEs>","500","Montserrat","957"
"A","Latin America <Developing & EIEs>","558","Nicaragua","957"
"A","Latin America <Developing & EIEs>","590","Panama","957"
"A","Latin America <Developing & EIEs>","600","Paraguay","957"
"A","Latin America <Developing & EIEs>","604","Peru","957"
