Article_Headline,Article_url,Article_content,Article_Author,COVID Related?
Tennis: Japan rallies to support Osaka after French Open withdrawal,https://www.straitstimes.com/sport/tennis/tennis-japan-rallies-to-support-osaka-after-french-open-withdrawal,"TOKYO (REUTERS) - Japan joined leading figures in tennis in rallying around Naomi Osaka on Tuesday (June 1) after the world No. 2 withdrew from the French Open in a row about post-match media duties, saying she had been suffering from ""depression"" and ""anxiety"".
One of the biggest names in sport, Osaka stunned the tennis world when she pulled out of the Grand Slam on Monday after being fined and threatened with expulsion for declining to face the media after her first-round match on Sunday.
The four-time Grand Slam champion had last week signalled her intentions to skip her media duties to protect her mental well-being and she returned to Twitter on Monday to announce her withdrawal.
While her original stance had earned the Japanese 23-year-old little backing from her fellow professionals, most saying that dealing with the media was part of the job, her withdrawal triggered a wave of support from around the world.
""The first thing to be considered is Ms Osaka's health. I wish her the earliest possible recovery,"" Japan Tennis Association (JTA) executive director Toshihisa Tsuchihashi said in a statement on Tuesday.
Japan's Chief Cabinet Secretary Katsunobu Kato told a news conference that he would ""watch over her quietly"" and there was concern on the streets of Tokyo for the woman who will be one of the faces of this year's Olympic Games in the city.
""I think she's under a lot of pressure, more than we can imagine,"" kimono dresser Tomomi Noguchi, 67, told Reuters.
""She got to the top when she was young so I think we can't really imagine what she's going through.""
Vickie Skorji, who manages a helpline at TELL, a non-profit counselling service in Japan, said society needed to be ""more respectful and supportive"" of mental health.
""Who has asked her how she is doing? She put out a statement and said 'I need to take care of myself,' and she's been punished,"" Skorji told Reuters.
""I think she is courageous and needs support.""
Skorji's thoughts echoed earlier comments from women's tennis trailblazers Martina Navratilova and Billie Jean King.
""It's incredibly brave that Naomi Osaka has revealed her truth about her struggle with depression,"" King wrote on social media.
""Right now, the important thing is that we give her the space and time she needs. We wish her well.""
Earlier, Williams sisters Serena and Venus, as well as younger American players Coco Gauff and Sloane Stephens, chimed in with messages of support as the focus shifted from Osaka's responsibilities to her well-being.
More on this topic
Tennis: Osaka finds support after decision to skip press at French Open
Tennis: Osaka lets racket do talking at French Open
There were also messages of support posted on social media from athletes in other sports.
""You shouldn't ever have to make a decision like this - but so damn impressive taking the high road when the powers that be don't protect their own. Major respect,"" wrote National Basketball Association All-Star Stephen Curry.
There was some criticism of Roland Garros organisers for their handling of the matter.
French Tennis Federation president Gilles Moretton read a prepared statement on Monday offering Osaka their support but the irony of him not taking questions afterwards was not lost on some.
""So the FFT handled the Ms Osaka mental health concerns without empathy or sensitivity. Then the FFT President refuses to take questions at a presser. An own goal,"" wrote former Australian tennis official Richard Ings.
Osaka earned US$55.2 million (S$72.9 million) over the past 12 months according to sports business website Sportico, much of it from sponsorship deals with major companies in Japan and the United States.
""Above everything else, we wish for Ms Naomi Osaka's quickest recovery and hope she will continue to perform well,"" Japanese sponsor Nissin Foods said in a statement.
More on this topic
Sporting Life: Naomi Osaka's silent stance raises multiple questions
Tennis: Osaka wants to use media boycott 'to bring about change', says coach",,TRUE
Mum's suicide with newborn baby reminder of danger of postpartum depression: Coroner,https://www.straitstimes.com/singapore/courts-crime/mums-suicide-with-newborn-baby-reminder-of-danger-of-postpartum-depression,"SINGAPORE - In a final voice message to her husband left on her mobile phone, a mother of two said that she was not a good mother and had let her family down.
The woman, 35, who had given birth to a baby girl five weeks earlier, added that her mind was not working and she had no idea what she was doing.
In October last year, she and her newborn daughter were pronounced dead at the foot of a housing unit block.
State Coroner Kamala Ponnampalam said in her findings made available on Friday (May 28) that the mother's death served as ""yet another stark reminder of the devastating effects of postpartum depression"".
The coroner ruled the mother's death a suicide and said she had ""tragically perpetrated the unlawful killing of her infant daughter"".
The court heard that the woman was an account executive on maternity leave at the time of her death. She also had a four-year-old daughter.
At about 5pm on Oct 29 last year, a passer-by heard a loud thud coming from the back of the block and saw the baby lying on the ground. He then heard another loud thud and saw the mother on the ground.
He had not heard any commotion before this and called the police immediately.
The duo were pronounced dead at the scene by paramedics and their cause of death was later determined to be multiple injuries consistent with a fall from height.
After the police were called, they found a mobile phone in the family's unit on the 10th floor. It contained a voice recording.
Her husband said the couple had a nanny after the baby was born last September, for the duration of the mother's confinement period.
Five days after the end of that period, the woman told her husband that she was stressed over having to take care of her two children and that she had forgotten how to do it.
He reassured her and said that he and his mother would take care of their elder daughter, and that she only had to rest and take care of the baby.
During her pregnancy, his wife had also expressed concerns about having to go back to work after her maternity leave.
After having the baby, she told him she wanted to quit her job. Her husband advised her to rest during her maternity leave and not think about work.
Her colleague and friend recalled her saying she did not know how to take care of babies any more and suspected she was suffering from postnatal depression, but added that she never expressed a desire to commit suicide.
More on this topic
Don't be afraid to ask for help, says mother who contemplated suicide
Spike in calls to suicide prevention agency SOS in 2020 as more in distress amid Covid-19
In the voice message the woman left for her husband, she said that they should not have had the baby as she did not know how to take care of babies or their family.
Her mind was not working, she had no idea what she was doing, she was not a good mother and wife and had let them down, she added.
She asked her husband to take good care of their elder daughter and expressed regret that she would not be around to watch her grow up.
The woman concluded the message by saying that there was no other way as her mind was not working.
The state coroner said in her findings: ""(The woman's) husband responded by reassuring her and making some alternative care arrangements for their older child. Unfortunately, (her) concerns and anxiety persisted.""
She added that the pressures of caring for a newborn can be immense, with demands from managing the household and family while getting ready to return to work seemingly insurmountable.
It is important that new mothers and those around them understand the enormity of the stress, said the state coroner.
""Most of all, a good support network and genuine encouragement from family and friends are essential to help the new mum cope.""
More on this topic
Mental health advocate sets up charity to guide community in suicide prevention
More needed help during Covid-19 pandemic, say mental health experts
Helplines
Samaritans of Singapore: 1800 221-4444 (24 hours)
Institute of Mental Health: 6389-2222 (24 hours)
Singapore Association for Mental Health: 1800 283-7019 (Mon to Fri, 9am to 6pm)
TOUCHline: 1800 377-2252 (Mon to Fri, 9am to 6pm)",Jean Iau,TRUE
Voices of youth: Let students take days off to improve mental well-being,https://www.straitstimes.com/opinion/forum/voices-of-youth-let-students-take-days-off-to-improve-mental-well-being,"According to a 2016 survey by the Institute of Mental Health, one in seven people in Singapore has experienced a mental health disorder.
With more students facing stress and anxiety, the Ministry of Education should take action and prioritise students' mental health over academic performance.
Students should be offered mental health days to better their mental well-being. These are days when they can be excused from school, similar to when they are sick.
When feeling extremely stressed, anxious and overwhelmed at a level that hinders them from concentrating, they should be entitled to take a day off from school.
Students can take a break from their hectic school lives and engage in activities to boost their physical and mental wellness.
Missing curriculum time is likely to raise concerns about students falling behind in school work.
However, students can catch up by arranging consultations with their teachers when they return to school.
I believe that, in the long run, mental health days would be beneficial to students in helping them cope both mentally and academically.
Furthermore, it teaches students the importance of taking care of their mental health, which reduces stress and burnout.
Mental health is just as important as physical health.
Through mental health days, schools will raise more awareness and show more support for those struggling with their mental health.
Kimberly Kwok, 16
Secondary 4 student",,TRUE
"Tennis: Naomi Osaka fined US$15,000 after win, warned of French Open expulsion",https://www.straitstimes.com/sport/tennis/tennis-osaka-fined-for-media-boycott-could-face-expulsion-from-french-open,"PARIS (REUTERS) – Naomi Osaka was fined US$15,000 (S$28,000) by Grand Slam organisers for skipping a news conference following her first-round win at the French Open on Sunday (May 30), and was also warned of possible expulsion from Roland Garros and future majors if she fails to meet her media commitments.
In the run up to the claycourt major, the world number two announced she would boycott news conferences while in Paris to raise awareness of players’ mental well-being, saying the nature of questions from journalists is like “kicking a person when they are down”.
Osaka started her French Open campaign with a 6-4 7-6(4) win over Romanian Patricia Maria Tig and then snubbed the post-match news conference, although the four-time Grand Slam champion did hold a court-side interview immediately after the contest.
The board of the four Grand Slams said in a statement on Sunday that the French Open organisers had asked Osaka to reconsider her position and tried unsuccessfully to speak with her to resolve the matter.
“The Australian Open, Roland Garros, Wimbledon and the US Open jointly wrote to her to check on her well-being and offer support, underline their commitment to all athletes’ well-being and suggest dialogue,” the statement read.
“She was also reminded of her obligations, the consequences of not meeting them and that rules should equally apply to all players.
“Naomi Osaka today chose not to honour her contractual media obligations. The Roland Garros referee has therefore issued her a $15,000 fine.”
Osaka’s management did not immediately respond to a request for comment but the player published a cryptic message on Twitter.
“Anger is a lack of understanding. Change makes people uncomfortable,” she wrote.
anger is a lack of understanding. change makes people uncomfortable.
— NaomiOsaka大坂なおみ (@naomiosaka) May 30, 2021
The 23-year-old Japanese player, who lives in Florida, has never made it past the third round at Roland Garros and arrived in Paris having played only three matches on clay this season after early defeats in Madrid and Rome.
Osaka, who according to sports business website Sportico earned US$55.2 million over the past 12 months, has previously used her platform and considerable media attention to highlight issues of police violence and racial inequality.
Media duty
While announcing her decision on Twitter to boycott news conferences she said she hoped the “considerable amount” that she expected to forfeit as fines would go towards a mental health charity.
Rafa Nadal, a 20-times Grand Slam winner, and women’s world number one Ash Barty have said they believe players have a duty to address the media.
Seven-time Grand Slam singles champion Mats Wilander said on Sunday that Osaka should not play tournament tennis until she is ready to take part in post-match news conferences.
“We have advised Naomi Osaka that should she continue to ignore her media obligations during the tournament, she would be exposing herself to possible further Code of Conduct infringement consequences,” the board of the four Grand Slams added.
More on this topic
Tennis: Naomi Osaka to boycott media at French Open 'for mental health'
Tennis: Osaka finds support after decision to skip press at French Open
“As might be expected, repeat violations attract tougher sanctions including default from the tournament ... and the trigger of a major offence investigation that could lead to more substantial fines and future Grand Slam suspensions.” The board said it would be unfair to other players if Osaka refuses to face the press while others honour their commitments.
“We will see how everything will end up,” two-time Wimbledon winner Petra Kvitova said after her win in the opening round. “But me personally, I was always trying to follow the rules and be fair not only on the court but off the court as well. Now it’s up to them to decide what’s going to be.”
Osaka showed no signs of being distracted by the issue during her opening match on a sun-bathed Philippe Chatrier court, however.
Asked in her courtside interview about how she adapts her game to the surface, Osaka said: “It’s a work in progress. Hopefully the more I play the better I play.” “I’m really glad that I won. It’s a beautiful court. I’ve only played two matches here (on Philippe Chatrier), one before the roof and one now, so hopefully I’ll keep it going.”
More on this topic
Tennis: Osaka lets racket do talking at French Open
Osaka, who missed last year’s tournament due to a hamstring problem, was not keen on engaging in long rallies and seemed too powerful against the 63rd-ranked Tig.
She stamped her authority on the match early with a 5-2 lead but needed a second break of serve after the Romanian staged a late fightback.
Tig saved a break point and a match point to take the second set into a tiebreaker before Osaka sealed it with a backhand winner to set up a second round meeting with another Romanian in Ana Bogdan.",,TRUE
Tennis: Osaka lets racket do talking at French Open,https://www.straitstimes.com/sport/tennis/tennis-osaka-lets-racket-do-talking-at-french-open,"PARIS (AFP) - World No. 2 Naomi Osaka let her racket do the talking at the French Open on Sunday (May 30) when she reached the second round with a 6-4, 7-6 (7-4) victory over Romania's Patricia Maria Tig.
The 23-year-old Japanese star, a four-time Grand Slam champion, has refused to carry out media obligations at the tournament, claiming news conferences are detrimental to her mental health.
Osaka, who has never got past the third round in Paris, fired 39 winners but committed 35 unforced errors against her 63rd-ranked opponent.
Next up for the second seed is another Romanian player, Ana Bogdan.
More on this topic
Tennis: Osaka finds support after decision to skip press at French Open
Tennis: Nadal, Osaka win top Laureus sports awards",,TRUE
Schizophrenia - looking beyond the symptoms,https://www.straitstimes.com/opinion/schizophrenia-looking-beyond-the-symptoms,"In his book Far From The Tree: Parents, Children, And The Search For Identity, Professor Andrew Solomon draws a parallel between schizophrenia and Alzheimer's disease.
He wrote that schizophrenia is ""an illness not of accrual but of replacement and deletion; rather than obscuring the previously known person, this disease to some degree eliminates that person"".
Please subscribe or log in to continue reading the full article.
Get unlimited access to all stories at $0.99/month
Latest headlines and exclusive stories
In-depth analyses and award-winning multimedia content
Get access to all with our no-contract promotional package at only $0.99/month for the first 3 months*
Subscribe Now
*Terms and conditions apply",Chong Siow Ann,TRUE
My experience with schizophrenia - as patient and researcher,https://www.straitstimes.com/opinion/my-experience-with-schizophrenia-as-patient-and-researcher,"One of my worst memories is being seated on a wheelchair at the emergency room of the Institute of Mental Health (IMH).
I was 25 years old and floridly psychotic. There is never a convenient time to fall sick, but I count myself lucky to be surrounded by my loved ones and had access to quality mental healthcare services when I did eight years ago.
Please subscribe or log in to continue reading the full article.
Get unlimited access to all stories at $0.99/month
Latest headlines and exclusive stories
In-depth analyses and award-winning multimedia content
Get access to all with our no-contract promotional package at only $0.99/month for the first 3 months*
Subscribe Now
*Terms and conditions apply",,TRUE
Migrant workers worried about Covid-19 back home can seek counselling: Tan See Leng,https://www.straitstimes.com/singapore/jobs/counselling-provided-to-migrant-workers-worried-about-covid-19-back-home-tan-see-leng,"SINGAPORE - Counselling is being provided to migrant workers who are concerned and worried about the well-being of their loved ones in their home countries, said Manpower Minister Tan See Leng on Sunday (May 23) during a virtual May Day celebration for workers.
Non-governmental organisations (NGOs) such as HealthServe and the Migrant Workers' Centre are attending to the counselling needs of workers, many of whom come from India and Bangladesh, he said.
Other NGOs, such as My Brother SG, have also been working with the Ministry of Manpower's (MOM) Assurance, Care and Engagement (ACE) Group to produce and distribute booklets on mental health to migrant workers across dormitories, said Dr Tan.
""We are grateful for the show of support from all our community partners, who often go the extra mile for our migrant workers,"" he said in a pre-recorded video message in the event, which was organised by the National Trades Union Congress.
He added that with the recent increase in Covid-19 cases in the community, there was a need to remain vigilant to protect migrant workers. Aside from going to work, they are still mostly not allowed to leave their places of residence.
Non-essential activities outside of the dormitories will be ""limited"", said Dr Tan.
""To aid our migrant workers in fulfilling essential needs, we will work with employers and dormitory operators to facilitate access to supplies, remittance and telco services,"" he added.
To keep workers engaged, the ACE Group is working with community partners to organise virtual activities such as online contests and courses.
""Our MOM officers are also on the lookout for distressed migrant workers who may require assistance,"" said Dr Tan.
During the live stream, workers tuned in from their dormitories to watch song-and-dance performances by artists from China, Myanmar and fellow migrant workers in Singapore.
About 20,000 care packs with items such as face masks, towels, hand sanitisers, vitamin D tablets and other toiletries will be distributed to workers at a later date than planned because of the current Covid-19 measures.
More on this topic
'We miss going out': Dorm conditions now better but migrant workers yearn to go out to relax
All dorms to be regulated under Foreign Employee Dormitories Act: MOM
The items, sponsored by DSM, Lazada, Procter & Gamble, Singtel, TS Group and Zero1, will be distributed by logistics and transport partner Shalom Movers.
The labour movement also penned messages of encouragement to migrant workers on a virtual mosaic wall.
Members of the public who wish to show their appreciation to migrant workers can also share their good wishes here.
More on this topic
Plans to relax restrictions on S'pore migrant workers' movements on hold
How Covid-19 has changed life in foreign workers' dorms in S'pore
Related Stories:
Moving from Covid-19 pandemic to endemic: Singapore's strategy and how it can unfold
Covid-19 cases climb in Thailand as it opens up less-affected Phuket to tourists
Pfizer, Moderna vaccines likely to produce long-lasting immunity: Study
MOH to stop giving details of Covid-19 community cases
Australia will cut international arrivals by 50% to stop Covid-19 surge
Ventilator 'bank' boosts Covid-19 fight in Nepal's hospitals
Israel requires masks indoors again as Delta variant drives up cases
Scientists hunt for a coronavirus super shot
Delta Plus, a potentially deadlier Covid-19 variant, causing concern in India",Charmaine Ng,TRUE
"Traumatised by Israeli bombing, Gaza children scared of dying",https://www.straitstimes.com/world/middle-east/traumatised-by-israeli-bombing-gaza-children-scared-of-dying,"GAZA CITY, PALESTINIAN TERRITORIES (AFP) - When an Israeli air strike targeted a security office near her home in Gaza this month, 10-year-old Zeina Dabous frantically scribbled a note and slipped it under her mother's pillow.
""Mummy, my love, I am very, very scared. If we all die, put us in the same grave all together so I can stay in your arms,"" she wrote.
""I want to wear my Eid clothes,"" she added, of the outfit she never got to wear for the Muslim celebration after Israeli air strikes on the Palestinian enclave started on May 10.
The 11-day bombing campaign came in response to rocket fire from Gaza by Hamas and other militants, triggered by an Israeli police crackdown on worshippers at east Jerusalem's Al-Aqsa mosque compound.
Though a ceasefire has halted the air raids since Friday (May 21), experts warn that children in the besieged coastal strip will likely carry the mental scars for years to come.
Psychologists say many are showing signs of depression, anxiety, behavioural disorders or irritability, and many are wetting their bed.
At home in Gaza city just before the bombing stopped, Zeina said she was constantly petrified and barely sleeping.
""They're always bombing,"" she told Agence France-Presse.
After a strike hit very close, ""before sleeping I wrote a note in red pen to my mother and slipped it under the pillow because I was scared I would die"", she said.
Zeina is one of around a million children living in Gaza, according to the UN's children agency Unicef.
Israeli strikes on Gaza killed 248 Palestinians, including 66 children, and have wounded another 1,900 people, the Gaza Health Ministry says.
Rockets and other fire from Gaza have claimed 12 lives in Israel, including one child and an Arab-Israeli teenager, an Israeli soldier, one Indian, and two Thai nationals, medics say. Some 357 people in Israel have been wounded.
More on this topic
In Gaza, fear of Israeli bombs outweigh Covid-19 risk
Gaza truce between Israel and Hamas takes hold after 11 days of fighting
There is controversy over how many of those killed in Gaza were combatants, and how many were civilians.
Israel's Prime Minister Benjamin Netanyahu said Israel's bombing campaign had killed ""more than 200 terrorists"" in Gaza.
'Don't be scared'
Israeli air strikes also pounded the densely populated enclave in the periods from 2008 to 2009, in 2012 and 2014.
When the last war raged, Zeina was no older than four.
""A whole generation of children has been ravaged by repeated conflicts,"" said Zeina's grandfather Saeed Dabous.
The charity Save the Children on Friday warned that children in Gaza would suffer for years to come.
They ""are suffering from fear and anxiety, a lack of sleep, and are displaying worrying signs of distress, such as constant shaking and bedwetting"", it said.
In their grandfather's home, Ms Maysa Abu al-Awf, 22, held her two-year-old brother Ahmad on her lap and tried to comfort him after they lost two sisters and dozens of relatives in a devastating air strike.
""I'm scared, I'm scared,"" Ahmad constantly repeated, a scab on his hand and stitches on his bare foot.
More on this topic
Gazans, Israel take stock after truce ends 11 days of violence
'Roof knocking': Israel bombardment warning system under scrutiny in Gaza conflict
Ms Maysa said that whenever he heard an explosion, he cried out. ""I tell him, 'don't be scared, it's just the sound of balloons popping'.""
After air strikes demolished their four-storey family home in Gaza city on Sunday last week, Ms Maysa, little Ahmad and their sister Maram, who is seven, screamed for hours under the rubble before they were rescued.
Their two sisters - 20-year-old dentistry student Shaima and 17-year-old school pupil Rawan - did not survive.
Sitting beside her grandfather, Maram shook as she recounted being trapped under the rubble.
""I called out for Mummy... I called for them to get me out,"" she said.
At the site of her demolished home, AFP saw Maram's favourite red teddy bear lying in the debris, foam spilling from its left leg.
""I am sad,"" Maram said. ""All my books and notebooks were burnt.""
'Catastrophic number'
In the Gaza Strip's main Shifa hospital, their 16-year-old cousin Omar was in shock after the same strike killed his two brothers and father, who was the head of internal medicine at the facility.
He had stopped talking, his family said.
During Israel's latest military campaign on the coastal strip, which is home to two million people, the Gaza Community Mental Health Programme (GCMHP) posted advice for parents on Facebook.
It told them to discuss feelings with their children, but also to try to distract them from the sounds of war with games, drawing or prayers.
There is no overall tally of how many children are suffering from mental health issues in Gaza due to repeated conflict, the GCMHP says.
More on this topic
Israeli strike puts sole Gaza Covid-19 lab out of action: Ministry
When fighting erupts between Israel and Hamas, charges of war crimes follow
But it said it records hundreds of new cases a month.
Psychologist Mohammed Abu Sabeh said children exposed to ""great trauma"" often then exhibit ""violent behavioural disorders"".
""The wars are sowing violence in schools and homes,"" he said.
Most children in the Gaza Strip suffer from ""depression, anxiety or a behavioural disorder"", and ""a catastrophic number"" of them need treatment.
""I'm not optimistic,"" Abu Sabeh said.
""This war will create an aggressive, violent and hateful generation.""",,TRUE
Facing the shadow during a pandemic of fear,https://www.straitstimes.com/opinion/facing-the-shadow-during-a-pandemic-of-fear,"Over these past weeks, especially for those in Singapore with Indian connections, the unending pandemic distress and India's high number of fatalities have brought new anxiety.
Just when it seemed glimmers of hope were discerned, not only has Singapore returned to partial restrictions, but also, for many Indian nationals here, hardly a day passes without news from their homeland of yet another death. Even if one is not individually close to them, many of these fatalities are at the end of a chain of relationships chillingly near the personal domain.
Some countries, such as Britain, with large swathes of their population now vaccinated, appear to be on the upswing and emerging from lockdown, but others seem to be spiralling downwards.
No matter where one lives in the world, everyone is asking - when will this end and also, why is this catastrophe happening?
Depending on one's philosophy or religious conviction, the answer seems to be either that the pandemic is the wrath of God visited upon a degraded and unprincipled world; the unleashed madness of unethical scientific experimentation; or the result of the unbridled egoistical folly of collective human pride. Possibly, something of all these explanations and more have conspired together at this time.
If we look to Indian cosmology, it is said the world goes through repeated celestial cycles of Utopian and Dystopian epochs. Unfortunately, according to these ancient teachings, we are now in the last phase of Kali Yuga, our present dismal cycle, ""the age of darkness, the age of vice and misery"". Hindus believe civilisation degenerates spiritually during this bleak phase, and each individual cycle is said to last a very long time; Kali Yuga, which began 5,122 years ago, stretches through 432,000 years. If that is so, then we have a long way to go, and it is not a happy thought.
Rise of violence and hate
Fear defeats more people than any other thing in the world, said philosopher and writer Ralph Waldo Emerson. At this moment, while we face a deadly pandemic, we also face a pandemic of fear.
There are those whose bravery is saving lives, but there are also those for whom fear now dominates life. As media platforms churn out the latest death tolls and other abysmal information, the constant feeling of being under threat affects us all. Constricted by the fear of contagion, we become more conformist and tribalistic, less accepting of outsiders or anything unconventional.
This fear is reflected in the rise of violence everywhere, particularly gun violence in the United States, violence towards the planet that sustains us, violence towards women, and xenophobic attacks on Asians in many places, including a recent incident of racist assault on an Indian in Singapore.
A global crisis of domestic violence has left many women trapped in lockdowns with their abusers, and political tensions are globally high with the rise of autocratic leaders spouting a culture of lies and control.
Unacceptable economic disparity is leading to aggressive confrontations on multiple levels everywhere in the world.
Vietnamese Zen master Thich Nhat Hanh writes: ""We have a great, habitual fear inside ourselves. We're afraid of many things - of our own death, of losing loved ones, of change, of being alone.""
All these fears belong to our shadow self, that buried area of uncomfortable personal emotional baggage we all carry deep in our subconscious.
Carl Jung, the great Swiss psychiatrist who spent his life studying this shadow, believed that, just as we have our own personal shadow self, humanity as a whole has a collective unconscious shadow.
In its darkness is contained all the past and present knowledge and experiences human beings share as a people, all the atrocities, cruelties, tragedies and horror perpetrated by humankind over the ages, and stored at an unconscious cellular level.
Jung viewed the two world wars as an eruption of this darkness, like a volcano when the pressure within becomes too great. If he were alive today, he would probably trace the flood of pandemic horror to our collective shadow.
More on this topic
Discrimination against TTSH staff fighting Covid-19 'distressing', says PM Lee
Don't shun TTSH healthcare workers as hospital Covid-19 cluster grows, urges MOH's Kenneth Mak
Changing for the better
Yet, it is the presence of this very same shadow, both individually and collectively, that makes us human. In a slim book published in 1933, In Praise Of Shadows, Japanese writer Junichiro Tanizaki wrote: ""We find beauty not in the thing itself but in the patterns of shadows, the light and the darkness, that one thing against another creates... Were it not for shadows, there would be no beauty.""
To understand both the beauty and the darkness of our world, a collective change in our lives and attitudes is needed, a new paradigm by which to live, of mutual tolerance and respect. As a shower of rain falls to earth in billions of droplets, so the same essence of life fills us all - human, animal, insect, bird and plant.
Thich Nhat Hanh tells us that ""all mental formations - including compassion, love, fear, sorrow and despair - are organic in nature. We don't need to be afraid of any of them, because transformation is always possible"".
In 1902, Austrian poet Rainer Maria Rilke, writing to a young friend, stressed that it is our inability to understand our higher purpose in life that is the problem. ""That which we call destiny goes forth from within people, not from without into them. Only because so many have not absorbed their destinies and transmuted them within themselves while they were living in them, have they not recognised what has gone forth out of them...""
More on this topic
What defines the soul of S'pore? IPS forum panelists say culture, community and a spirit of solidarity
Community spirit among S'poreans shines through during pandemic: Public service report card
The world is now focused on controlling the coronavirus, as indeed it must, through vaccination and restrictive measures. Yet, if we push the emotional damage of our pandemic back into the shadow without the integration and healing needed to eradicate deeper scars, then we will all have suffered for nought. We must not retreat before the difficulties ahead.
In a world beset with overwhelming challenges, the growing problem of ""othering"" is now a major destructive force - from the Proud Boys in America, to the present conflagration between Israel and Palestine, to the recent xenophobic attacks on Asians in the US and Indians in Singapore.
In an article in The Atlantic in 2016, then US President Barack Obama was quoted as saying that the stresses of globalisation and the collision of cultures have led to the establishment of a default position in the world, in which things are organised by ""tribe - us/them, a hostility towards the unfamiliar or the unknown"", and the need to ""push back or strike out against those who are different"".
According to Jung, however, when the shadow is faced and explored, it is impossible to say others are wrong, for whatever is wrong in the world is found also in oneself.
If we each deal with our own personal shadow, then slowly society can be changed. Transformation is what the world needs now at this historic time, and in spite of everything, thankfully there are many who are working towards that.
• Meira Chand has a doctorate in creative writing and is the author of nine novels, whose themes examine the conflict of cultures and the search for identity.
• We welcome contributions to the Sunday Views column. Write to us at stopinion@sph.com.sg",Meira Chand,TRUE
Lady Gaga says she was pregnant after sexual assault at age 19,https://www.straitstimes.com/life/entertainment/lady-gaga-says-she-was-pregnant-after-sexual-assault-at-age-19,"American pop star Lady Gaga has revealed that she became pregnant after she was raped at the age of 19.
The 35-year-old singer was the guest on the first episode of The Me You Can't See, a new docuseries co-created and produced by Britain's Prince Harry and talk show host Oprah Winfrey.
The series, which launched on streaming service Apple TV+ on Friday (May 21), features interviews with celebrities about their struggles with mental health .
""I was 19 years old, and I was working in the business, and a producer said to me, 'Take your clothes off,'"" Lady Gaga told Winfrey.
""I said no, and I left, and they told me they were gonna burn all my music.""
She recalled in tears: ""And they didn't stop. They didn't stop asking me and I just froze and I just… I don't even remember.""
Lady Gaga, whose real name is Stefani Germanotta, would not name the producer.
""I understand this #MeToo movement, I understand that some people feel really comfortable with this, and I do not,"" she said.
""I do not ever want to face that person again. This system is so abusive, it's so dangerous.""
She first went public about her sexual assault in a radio interview on The Howard Stern Show in December 2014. Two years later, she revealed that she suffered from post-traumatic stress disorder.
On The Me You Can't See show, she recounted that several years after she was raped, she went to a hospital for chronic pain and was surprised when she was treated by a psychiatrist instead of a medical doctor.
""I said why is there a psych here, I can't feel my body,"" she said. ""First I felt full on pain, then I went numb and then I was sick for weeks and weeks and weeks after.""
She continued: ""And I realised that it was the same pain that I felt when the person who raped me dropped me off pregnant on a corner, at my parent's house. Because I was vomiting and sick. Because I had been being abused. I was locked away in a studio for months.""
She said the trauma led to ""a total psychotic break"" for a few years, which was still plaguing her when she won the Oscar for Best Original Song for Shallow in 2019.
The song is featured in 2018's A Star Is Born and a duet with her co-star Bradley Cooper, who also directed the film.
Lady Gaga said the improvement in her mental health was ""a slow rise"" and not a ""straight line"".
""Even if I have six brilliant months, all it takes is getting triggered once to feel bad,"" she said.
It took her 2½ years to recover as she ""learned all the ways to pull myself out of it"".
She added: ""It all started to slowly change.""
More on this topic
Lady Gaga offers US$500,000 reward for two stolen dogs
Game Of Thrones star Esme Bianco sues Marilyn Manson for alleged rape, abuse",Lim Ruey Yan,TRUE
