,username,text,retweets,favorites,replies,tweet_id,user_id,date,hashtags,mentions,tweet_location,user_location,city,state,country
98,rudrapratap29,really do u have any shame you misogynist filth i be really ashamed to be a part of such india where people like u exist guy like you be the reason female be subjugate yo domestic violence badtmeej,0,0,0,1262595238679523329,806962825373556740,2020-05-19 04:05:37+00:00,,,,"New Delhi, India",New Delhi,Delhi,India
115,KeshriOmprakash,another explicit content tere jism par bas haq hai ek mera nhi to rape acid this time promote rape tiktok_in bantiktokinindia bantiktok tiktokexposed tiktokbanned at buxar,1,7,3,1262677770179665921,462690341,2020-05-19 09:33:34+00:00,#BanTikTokInIndia #BanTiktok #tiktokexposed #tiktokbanned,@TikTok_IN,,"Patna, India",Patna,Bihar,India
134,prakashyadav326,those tiktokers promote domestic violence rap acid attack kafir ki hatya and you guy come to support them ayushmannk,0,0,0,1262616292915200000,1598146142,2020-05-19 05:29:17+00:00,,@ayushmannk,,"Mumbai, India",Mumbai,Maharashtra,India
136,PKC30696484,a big shout out to tiktok_in for make the platform entertain as well as safe for everyone there be no place for violence or sexually explicit content on tiktok_in spread love not hate,0,0,0,1263022420983717888,1230883522283479043,2020-05-20 08:23:05+00:00,,@TikTok_IN @TikTok_IN,,India,,Madhya Pradesh,India
137,InvictusPS,i pray for the depart soul and for strength to his family and for a world free of violence and suffer om shanti,0,0,1,1263247285749780481,1244717548433625089,2020-05-20 23:16:37+00:00,,,,"Rohtak, India",Rohtak,Haryana,India
138,Mogami_tsurugar,he be like male version maya mehrotra lol kvb and jenny play siblings too but yeah bohra be excellent actor and human complete contrast to virat he himself be against to domestic violence love both jenniferwinget karanvirbohra,5,5,0,1262785923890233344,1169468909017133056,2020-05-19 16:43:20+00:00,#JenniferWinget #KaranvirBohra,,,India ,,Madhya Pradesh,India
143,shiv0037,what happen to all these secular women where be they now their husband enjoy their live with other women and they be all set but what live these secular women live now tear mental torture muslim kid and divorce and wait for death wesupportucc,0,0,0,1262960849162993664,869257047849791488,2020-05-20 04:18:25+00:00,#WeSupportUCC,,,"Mumbai, Maharashtra, India.",Mumbai,Maharashtra,India
155,DV99999,iran jihad justify imams mad mujahideen mullahs export kuffar shia brand of islamic jihad worldwide rogue intelligence officer of irgc indulge in fitna anarchy violence sabotage terrorism civil war insurgency assassinations regime change dirty double game,1,1,0,1263169217508986880,1173591245311995904,2020-05-20 18:06:24+00:00,#Iran #Shia #Islamic #jihad,,,Bharat ,,Madhya Pradesh,India
168,swapnilmak007,yes definitely india should ban this app now earlier it be not that much bad about the videos but nowadays literally children use this already we have see the that cringe content with violence,0,0,0,1263111115245903873,153029152,2020-05-20 14:15:32+00:00,,,,pune,Pune,Maharashtra,India
185,kk025003,tiktokbanindia to report cyber crime use this portal most u might find fake profile spread hatred and sexually abusive statements https cybercrimegovin,0,0,0,1263060478634405888,74420784,2020-05-20 10:54:19+00:00,#tiktokbanindia,,,"Jammu, Jammu And Kashmir",Jammu,Jammu and Kashmir,India
218,r_shivam_,5n in the power position who share their ideology why be there any documentarybook on 1971 genocide of hindus or kashmiri pandit exodus but a internet lock down to supress sepratist movement be considerd authoritarian we always beat pakistan in war but we be the one,0,0,0,1262922647123496963,1228367957870333954,2020-05-20 01:46:37+00:00,,,,"Pune, India",Pune,Maharashtra,India
230,amritawrites1,we indians love all kashmiris our hearts cry equally when anyone die a muslim kashmiri or a soldier i implore to my kashmiri brothers sisters to give up aggression amp i believe the army too will not be force to be aggressive to counter the same,0,2,1,1262780161721724935,1063258161673658369,2020-05-19 16:20:26+00:00,,,,"Gurgaon, India",Gurugram,Haryana,India
248,prsekar05,next 75k ipo laam 100k lam thalaivar fan assault,56,10,1,1262735520637038592,2865432406,2020-05-19 13:23:03+00:00,,,,"Tamil Nadu, India",,Tamil Nadu,India
275,Divorce53688604,where everyone be say stay safe at home be you still face domestic abuse call for more query 91 90151 70171 91 97170 4477 lawfirm domesticabuse domesticviolence domesticabuseawareness cruelty,0,0,0,1263094331214376960,1250002655608365056,2020-05-20 13:08:50+00:00,#lawfirm #domesticabuse #domesticviolence #domesticabuseawareness #cruelty,,,New Delhi,New Delhi,Delhi,India
291,srinivasangopal,congressbusghotala go to show the intent be not to help migrants but intimidate yogiadityanath throw a figure of 100 bus either the incindia do nt expect to be confront with facts or some one at priyanka office bungle by give her the no of 100 bus,1,0,0,1262779870808903686,14380148,2020-05-19 16:19:17+00:00,#CongressBusGhotala #YogiAdityanath,@INCIndia,,India,,Madhya Pradesh,India
305,nitin33K,women 15may20 respectgender respectwomen equality alcohol lockdown4 domesticviolence biasedlaw smritiirani rsprasad aajtak nawazuddin_s __,2,1,1,1262625218037723137,4787013172,2020-05-19 06:04:45+00:00,#Women #RespectGender #RespectWomen #Equality #alcohol #Lockdown4 #DomesticViolence #BiasedLaw,@smritiirani @rsprasad @aajtak @Nawazuddin_S,,India,,Madhya Pradesh,India
341,Gulshan07650312,such loneliness it must be a shatter experience and always feel horny can i help dear my goddess,0,0,0,1262814003341885442,1246756595008040960,2020-05-19 18:34:55+00:00,,,,"Punjab, India",,Punjab,India
349,Kanhaiya2002,bantiktoklnlndia in my point of view tik tok and app similar to them like helo likee etc promote pronography domestic violence rape threat abusive content religious hate etc and also some idiots be spread bullshit which can be dangerous for society,0,3,1,1262648721843433479,892929252424785920,2020-05-19 07:38:08+00:00,#BanTikToklnlndia,,,"Mumbai, India",Mumbai,Maharashtra,India
357,IDineshPatil,exactly that s what we be try to point out no a specific party but all political party should take responsibility for this and she targetted the only party which suit her agenda so we should better talk sense and on factual things not abuse,0,0,0,1263189939719557120,500021613,2020-05-20 19:28:45+00:00,,,,India,,Madhya Pradesh,India
377,AdvocatePriyan8,https vmtiktokcomtsxxrq ncwindia sharmarekha please watch this also maam who be promote domestic violence through this platform tiktok https vmtiktokcomts9ob3 this person name sumer rajput all videos on domestic violence i warn him 23 time in comment not to promote,0,0,0,1262642973776347136,1261547443428024326,2020-05-19 07:15:18+00:00,,@NCWIndia @sharmarekha,,"New Delhi, India",New Delhi,Delhi,India
400,pabdaMacherJhol,before anything mamata govt already start display victim card all kind of trick she know what a tough year for a politician especially if next year be election amp u really have a little money ca nt b distribute which be the prime instinct amp centre wo nt help u,0,0,0,1263171268834209796,132904190,2020-05-20 18:14:33+00:00,,,,India,,Madhya Pradesh,India
428,Amit_Mohan0209,ncwindia can you please write to tiktok where violence against women promote in many videos rape acid attack domestic violence be promote and users still have tiktok account run tiktok_in i be write this with utter grievance and want you stop such videos,0,0,0,1262612774921912321,479303832,2020-05-19 05:15:18+00:00,,@NCWIndia @TikTok_IN,,"New Delhi, India",New Delhi,Delhi,India
449,sania_agrawal2,it should be asap for every such kind of stuff that promote rape child abuse domestic violence acid attack religious extremism for everything,0,1,0,1262688773206429696,811469249084465152,2020-05-19 10:17:17+00:00,,,, भारत,,Madhya Pradesh,India
450,Muskansingh2020,tik tokiyas be glorify acid attack domestic violence rap animal cruelty in the name of content what kind of influencer be they do nt you think they should be ban bantiktoklnlndia,0,4,0,1262596831630024705,1247519337281253377,2020-05-19 04:11:57+00:00,#BanTikToklnlndia,,,"New Delhi, India",New Delhi,Delhi,India
468,ravibagri,whose life hs bn all about lick asses wo nt b surprise 2 know if they hv 2 eat their shit also 2 get 2 loaf of bread in their life as in general they r incapable of they talk of some1 take help of wife father mother etc shud not surprise anyone thats their life,0,0,0,1262999508155338753,75490891,2020-05-20 06:52:02+00:00,,,,"Kolkata, India",Kolkata,West Bengal,India
470,dijeshk22,tajinderbagga drharshvardhan my inlaws both senior citizen stay in dilshad colony be not able to go out due to fear of corona they hv exhaust their provision request help for them as we be stay in mumbai we can not help them now request you to pls help them,0,3,0,1244503911941025793,2942572944,2020-03-30 05:57:09+00:00,,@TajinderBagga @drharshvardhan,,Mumbai,Mumbai,Maharashtra,India
478,JKJABBUAMMIJKJ,mohammad kafeel alam want to raise fund for my son be suffer from c p child neuro problem we need your help to provide for his treatment your donation have the power to help them move closer to their goal amount please contribute,0,0,0,1263174289232138242,3196706636,2020-05-20 18:26:33+00:00,,,,"Kolkata, India",Kolkata,West Bengal,India
479,reachswapnilm,ktrtrs kishanreddybjp kishanreddyofc hydcitypolice cyberabadpolice telanganadgp please helpgetting threat call on expose anti nationals,0,0,0,1263193247209320448,1127936796308860933,2020-05-20 19:41:53+00:00,,@KTRTRS @kishanreddybjp @KishanReddyOfc @hydcitypolice @cyberabadpolice @TelanganaDGP,,India,,Madhya Pradesh,India
493,basanta_dash,mco see spike in domestic violence case,0,0,0,1263015621563789312,2501609773,2020-05-20 07:56:04+00:00,,,,India,,Madhya Pradesh,India
494,deepikadeshwal,help many women in punjab and delhi against domestic violence,0,0,0,1263144472038133760,1001187476,2020-05-20 16:28:04+00:00,,,,Delhi,Delhi,Delhi,India
499,manishtwiraghav,nepali momo s get burn u r my son ask your mother which i get bang in india and i must i m not very proud of u son u will be fooked soon do nt worry india army go to fook u,0,0,0,1263154064059256834,2407353662,2020-05-20 17:06:11+00:00,,,,New Delhi,New Delhi,Delhi,India
500,TOILucknow,lucknow two daily wager suffer burn injuries after fire break out in an underconstruction flat in residential apartment build in gomtinagar extension on wednesday night,3,14,0,1263176511533707269,2376970800,2020-05-20 18:35:23+00:00,,,,Lucknow,Lucknow,Uttar Pradesh,India
502,RamaMagi,ppl arent mindless to quickly get infect by such filth those infect and make this video have be condition since childhood use all psychological tool include sexual exploitation otherwise nobody will be infect by filth of 1 foot wide person talk swordfight,0,0,1,1263019296667525122,1066543689844047872,2020-05-20 08:10:40+00:00,,,,"New Delhi, India",New Delhi,Delhi,India
513,muglikar_,tiktok s dark gut why porn sex rape violence be allow to thrive exemployee explain https wwopindiacom202005tiktokexemployeebytedancechinesecompanythrivewhysexpornrapeviolence,60,120,2,1263109839468638208,2877839294,2020-05-20 14:10:27+00:00,,,,"Pune, India",Pune,Maharashtra,India
517,euphoriaBlissss,police kyu darti h muslimo se religion and status bina dekhe kaam krna hota h unko phir kyu nahi kiya father ne and beti ne video m kaha tha ki death threats mil rahe unko isleye shyd apna statement badla hoga dar k maarey,0,0,0,1261833821235875841,1233153373936869376,2020-05-17 01:40:01+00:00,,,,भारत,,Madhya Pradesh,India
531,mathursumit12,tiktokexposed tiktokban ncwindia domesticviolence these kind of videos promote domestic violence,3,1,0,1263017450695770114,223829436,2020-05-20 08:03:20+00:00,#tiktokexposed #tiktokban #domesticviolence,@NCWIndia,,"New Delhi, India",New Delhi,Delhi,India
544,DrMahendrakar,violate the interim protection residence order issue by the court take advantage of lockdown husband inlaws be trouble verbally physically hit financially amp spit on me amp my 11yrs daughter to evacuate from the house please help us immediately pmoindia,0,0,0,1262781181315219456,1035946445377916928,2020-05-19 16:24:29+00:00,,@PMOIndia,,"Pune, India",Pune,Maharashtra,India
551,Vijay_Knl,she leave sm beyond this i never know assholes only these people that scene when yoda burn the texts and ask luke if he ever read them it show so much how jedi have fail,0,1,1,1263206988273467394,821703192727736320,2020-05-20 20:36:29+00:00,,,,"Hyderabad, India",Hyderabad,Telangana,India
567,MousumiDeka,newsliveghy himantabiswa people go to hospitals to help their admit relatives during emergency be be stop by police it can not be justify my inlaws be age and need a younger relative at hospital we understand lockdown but this be emergency please help,0,0,0,1243409114509672450,1343672708,2020-03-27 05:26:48+00:00,,@NewsLiveGhy @himantabiswa,,Pune,Pune,Maharashtra,India
570,Nitinvtiwari,report now raise handsthey should ban on every social media twitter instagram and facebook too glorify acid attack domestic violence rap animal cruelty in the name of content what kind of influencer be they bantiktokinindia faizalsiddiqui tiktokdown,2,2,1,1262718700001603586,1106852323848933376,2020-05-19 12:16:12+00:00,#BanTikTokInIndia #FaizalSiddiqui #tiktokdown,,,India,,Madhya Pradesh,India
608,iammandir,tik tokers be promote acid attack domestic violence love jihad religious conversions 5 time ki namaaz superstitions terror supporters split amp spread virus attack police violate lockdown rule amp all them have millions of followers bantiktokinindia,0,1,0,1262757101169852417,852908704370446340,2020-05-19 14:48:48+00:00,#BanTikTokInIndia,,,India,,Madhya Pradesh,India
632,nareshkumar308,police_haryana sir my 10 yrs daughter strand in jalandhar inlaws home without mother her mother be depress even child be feel alone help me and give me one day pass to bring my child mob 9812423625 frm ambala https twittercommessagesmedia1248504528724299781,0,0,1,1248509264827564032,164717020,2020-04-10 07:12:59+00:00,#mob,@police_haryana,,"Ambala, India",Ambala,Haryana,India
645,RSurajmal,domestic violence during covid19 present by advocate anupam agarwal and feature in the aryavarth express bengaluru may 202020 read more at page 4 http thearyavarthexpresscomhomeepaper for a consultation call 91 9740645762 anupam rslegalin ramniwassurajmal rslegal womenrights,0,0,0,1263046055806898176,809665465790263296,2020-05-20 09:57:00+00:00,#RamniwasSurajmal #RSLegal #Womenrights,,,"Bangalore , Karnataka, India",Bengaluru,Karnataka,India
648,Abhishe32948914,the lockdown have cause a surge in the number of people contact the revenge porn helpline the governmentfunded service for adults experience intimate image abuse solicitor qredible https wwqrediblecouk,0,0,0,1263071259665084422,1253277196631904257,2020-05-20 11:37:09+00:00,#solicitor #qredible,,,India,,Madhya Pradesh,India
674,ShagunShah,and i fell in one place i force quit the game but the lag would nt trigger the exit later i log back on to find my ghost stand before the spirit healer my body be still on the other side of the ocean this be where i learn that ghost feel fatigue too,0,1,1,1263200342075863041,42622706,2020-05-20 20:10:05+00:00,,,,"Bengaluru, India",Bengaluru,Karnataka,India
679,IAmAaratee,beloved juan luis londono arias whenever your eye see me i feel love special extremely lucky i take four years to say thankyou yeah i would love to thank you for save me against pervert you wipe away my tear i love you juan maluma anushka0110 adityaseal_,0,0,0,1263050053750411264,798246800964481024,2020-05-20 10:12:53+00:00,,@maluma @anushka0110 @AdityaSeal_,,"New Delhi, India",New Delhi,Delhi,India
682,HeerSaleti_,fall woman slut whore tramp hussy prostitute slag there be many sham word for a woman who cross the line sexually but just try to think of word for a promiscuous man stud come to mind most quickly 12continued,8,31,1,1262779425919123458,823602221153734657,2020-05-19 16:17:31+00:00,,,,India,,Madhya Pradesh,India
687,anuptripathi27,death there be two type of death 1 when people die and they stop breathe and there heart stop beat 2 people also die when they be oblvious towards their surround and the pain experience by others include animals and tree,0,0,0,1263220190365356033,376483500,2020-05-20 21:28:57+00:00,,,,"New Delhi, India",New Delhi,Delhi,India
691,Rudra_Aksh27,really be that so imrankhanpti niazi sahab do you remember how pak army use brute force to decimate thousands of yindoos during 1971 war of b desh kill hundreds of women n children in the process,48,8,0,1263183078991769600,827195767844528128,2020-05-20 19:01:29+00:00,,@ImranKhanPTI,,"New Delhi, India",New Delhi,Delhi,India
702,covidawasthi,tik tokiyas be glorify acid attack domestic violence rap animal cruelty in the name of content what kind of influencer be they do nt you think they should be ban bantiktoklnlndia tiktok tiktokdown tiktokrating tiktokban,2,3,0,1262618964951252998,246183147,2020-05-19 05:39:54+00:00,#BanTikToklnlndia #TikTok #tiktokdown #tiktokrating #tiktokban,,,India,,Madhya Pradesh,India
706,raghav4india,while maliniawasthi madam be well within her right to slap a legal notice to gauravpandhi for his presumable excess of foe what i can not understand the crime behind call yashu rustagi a public servant that i be slap with ipc 353 all under awanish sir s watch,0,1,0,1263153007669248000,2873183791,2020-05-20 17:01:59+00:00,,@maliniawasthi @GauravPandhi,,India,,Madhya Pradesh,India
716,abbashussainn,m dhakkan which be generally consider the head of a bottle but u be a bottle without dhakkan go get something else this fake secularism be not go to help u anymorepeople like u have already be expose a profile say everything against muslim be talk abt secularism,0,0,0,1256551345370345474,49907716,2020-05-02 11:49:20+00:00,,,,Lucknow,Lucknow,Uttar Pradesh,India
731,ArjunJa47143786,this be the issue nobody bat an eye when the tribal leader and wife of ayyappan nair slap a village officer i d like to see how you people tie that slap to patriarchy too,0,0,0,1262952169084518400,1259776390884323328,2020-05-20 03:43:56+00:00,,,,"Kerala, India",,Kerala,India
732,anshkansal18,sometimes i get confuse while listen to ritviz songs i mean do i drink or dance or cry or completely burn down my ex s house,0,0,1,1263121264727605250,1256023696684339200,2020-05-20 14:55:51+00:00,,,,"Uttaranchal, India",Dehradun,Uttarakhand,India
743,SaurabhLakhnavi,exactly if we make government understand that this app be not good for younger generation and instead of support creativity it s promote violence religious hate kid brainwash then there be no reason that government ca nt ban this platform,0,3,0,1263109001748729856,1244836978601758725,2020-05-20 14:07:08+00:00,,,,"Lucknow, India",Lucknow,Uttar Pradesh,India
749,BATAVIAHARSH,to help terrorist be a also terrorism these mother fuckers be fee the terrorist,1,0,0,1262761517612560386,2366886290,2020-05-19 15:06:21+00:00,,,,"Bhopal, India",Bhopal,Madhya Pradesh,India
768,UkNarayan77,whenever humans start to believe that this planet belong to us we be free to do with it as we wish there s a slap from the nature in the form of outbreaks which show us that we be not the master but indebted to mother earth __,0,0,0,1263145105076170754,2810912119,2020-05-20 16:30:35+00:00,,,,"New Delhi, India",New Delhi,Delhi,India
771,SrimantiG,while bjpitcell expose anarchy incompetent tmc govt they r harass arrest wid false case by police of cm dis way if c think c can supress da voice of comnppl thn c be sadly mistakenwe ll continue our mission2expose thm dekhna hai zor kitna bazue katil mei hai,0,1,0,1259084169549737984,1115543196363317254,2020-05-09 11:33:53+00:00,,,,"Kolkata, India",Kolkata,West Bengal,India
773,nilanjanmaitra,and his mother beat the shit out of him then she call his father who beat the shit out of him again the next day mohammad return to school the teacher saw all his fresh bruise what happen to you mick she ask,0,10,1,1262945129683456000,43381273,2020-05-20 03:15:57+00:00,,,,"Mumbai, India",Mumbai,Maharashtra,India
798,Smiley_sarry,dcpnewdelhi cpdelhi cyberdost cybercellindia please file complain against this user as share nudity and explicit content on social media mumbaipolice,0,0,0,1262862512783011852,420959570,2020-05-19 21:47:40+00:00,,@DCPNewDelhi @CPDelhi @CyberDost @Cybercellindia @MumbaiPolice,,"New Delhi, India",New Delhi,Delhi,India
820,ItsPratsD,i m talk about the people call girls sluts and send them rape and death threats as far as carry be concern i have somewhat of a respect for him after he urge his audience to not use the word chhakka and meetha and gay in his livestream 2,0,0,0,1261974852669497345,1202254991290798081,2020-05-17 11:00:25+00:00,,,,"Mumbai, India",Mumbai,Maharashtra,India
839,thatdogfather,1998rishu bhai ye last wala vid hai kya ye domestic violence wala,0,3,2,1262703828748492800,4630772419,2020-05-19 11:17:07+00:00,,@1998Rishu,,"New Delhi, India",New Delhi,Delhi,India
881,deepikadeshwal,stop domestic violence https wwrozanaspokesmaninnewsnation180520womendomesticworkhtml cpdelhi punjabpoliceind capt_amarinder cmopb hmoindia arvindkejriwal sangram_sanjeet gill_amjyot 3x3bl mangtec ani un unwomenindia uninindia,0,0,0,1262687721107058691,1001187476,2020-05-19 10:13:06+00:00,,@CPDelhi @PunjabPoliceInd @capt_amarinder @CMOPb @HMOIndia @ArvindKejriwal @Sangram_Sanjeet @gill_amjyot @3X3BL @MangteC @ANI @UN @unwomenindia @UNinIndia,,Delhi,Delhi,Delhi,India
889,singhalvinit,dhirendragbn dmgbnagar sir i need a pass to travel from noida to hansi for one day there be some medical emergency my inlaws be live there and they be alone so my wife want to go there to help them please help me,0,0,0,1262644424787365888,375397022,2020-05-19 07:21:04+00:00,,@DhirendraGBN @dmgbnagar,,"Noida, India",Noida,Uttar Pradesh,India
901,bollywoodnewsfb,nawaz wife aaliya claim mental torture,0,0,0,1263009948390371328,3152216312,2020-05-20 07:33:31+00:00,,,,"Mumbai, India",Mumbai,Maharashtra,India
940,MayankT62840432,terrorism violence on animals abuse domestic violence rape acid attack this be what our country be learn bantiktokinindia tiktokban tiktokexposed pmoindia hmoindia https twittercomyashdeepakraut1status1262659285793857537,1,1,0,1262998681655152641,1084821128760180736,2020-05-20 06:48:45+00:00,#BanTikTokInIndia #tiktokban #tiktokexposed,@PMOIndia @HMOIndia,,India,,Madhya Pradesh,India
945,GuruJagannath2,absence from the workforce will continue to remain an invisible phenomenon what might be evident in near future and draw attention of concern authorities as prime gender concern be increase in domestic violence,0,0,0,1263015197352083457,1195268247177662464,2020-05-20 07:54:23+00:00,,,,"Hyderabad, India",Hyderabad,Telangana,India
964,AllThingsAreOne,osho be a fake allege spiritual leader steep in corruption excesses and morally change excersizes of sexual nature only the last part be true for mk gandhi who be a pervert and a sex offender by ipc standards which be even operational then anyway he get away with it,0,0,0,1263178069793095682,204799670,2020-05-20 18:41:35+00:00,,,,"Goa, India.",,,India
1010,TechnicalHindi2,asulting women randomly promote accid attack promote torture on women promote rape promote love jihad promote murder promote crime tiktok tiktokban tiktokbanindia tiktokexposed,1,2,0,1262992775546576896,831853639199125504,2020-05-20 06:25:17+00:00,#tiktokban #tiktokbanindia #tiktokexposed,,,"Gurgaon, India",Gurugram,Haryana,India
1016,InderBirKaur60,1 now on whom domestic violence case should be fill for restrict women s freedom durinv lockdown 2 husband put mask on your face while at home so that your wife be save from see your face 3 what about men to bear their wife s taunt 247 domesticviolence,0,1,0,1262602447727423488,867011575877521409,2020-05-19 04:34:16+00:00,#lockdown #DomesticViolence,,,"Mumbai, India",Mumbai,Maharashtra,India
1018,RKPaul18,congexposescong navika who will trust a party reject by country no govt should be pressurise all procedures be to be follow to ensure that under pressure corona affect people be not push in the same bus,0,0,0,1263135567564337153,949918147208929282,2020-05-20 15:52:41+00:00,#CongExposesCong,,,"Greater Noida, India",Greater Noida,Uttar Pradesh,India
1038,smitprabhu,animal abuse domestic violence jihad acid attack rape video bantiktokinindia period bantiktoklnlndia bantiktokapp bantiktok bantiktoklnlndia,0,1,0,1262586640553275392,869556800021909504,2020-05-19 03:31:27+00:00,#BanTikTokInIndia #BanTikToklnlndia #BanTikTokApp #BanTiktok #BanTikToklnlndia,,,भारत,,Madhya Pradesh,India
1042,DV99999,iran jihad justify imams mad mujahideen mullahs export kuffar shia brand of islamic jihad worldwide rogue intelligence officer of irgc indulge in fitna anarchy violence sabotage terrorism civil war insurgency assassinations regime change dirty double game,0,0,0,1263169278439600128,1173591245311995904,2020-05-20 18:06:39+00:00,#Iran #Shia #Islamic #jihad,,,Bharat ,,Madhya Pradesh,India
1048,MattBomerBest,it s not gay it s jamie accept who he really be and become physically and emotionally more like his mentor it s a very deeply psychological moment of acceptance amp transformation,0,0,0,1263060092343037952,705793175382847490,2020-05-20 10:52:47+00:00,,,,India,,Madhya Pradesh,India
1068,1_AM_AB,listen i do nt know who nd why do do nt know wht u r say its trure or not i watch the full video before comment nd my opinion be the video be promote domestic violence now follwup the story for further information,0,0,0,1262638646370250752,964211545,2020-05-19 06:58:06+00:00,,,,"New Delhi, India",New Delhi,Delhi,India
1075,socialpolicyind,new article out dr keerty nakray and vishu surana review of domestic violence laws in the unite state and india a systematic comparison of background and implications available from https wwsociolegalreviewcomarchive heejungchung,1,2,0,1263171857437659137,2215978676,2020-05-20 18:16:54+00:00,,@HeejungChung,,New Delhi,New Delhi,Delhi,India
1081,Homipatil,promote terrorism promote acid attack domestic violence create problem during covid lockdowns participation in anticaa nrc bantiktokinindia,1,2,0,1262648304095150080,436104587,2020-05-19 07:36:29+00:00,#BanTikTokInIndia,,,"Mumbai, Maharashtra",Mumbai,Maharashtra,India
1095,sasidhar9538,dinosaurs save themselves by become extinct if not you guy would eat dinosaurs and their shit too i do nt understand be the virus china release in 2019 itself be a chinese virus or the chinese who support ccp be chinese virus,0,0,1,1262640934115700736,3315584208,2020-05-19 07:07:12+00:00,,,,"Andhra Pradesh, India",,Andhra Pradesh,India
1100,viruboss1970,we think you be muslim say madhya pradesh police as apology for beat lawyer listen to this brave lawyer from betul deepak bundele he say the attack on him be actually an attack on india he ll fight till the guilty tps tcoexwh1pseam,2,2,0,1263214349960859648,920275628493959168,2020-05-20 21:05:45+00:00,,,,"Uttar Pradesh, India",,Uttar Pradesh,India
1109,SamratChoudhury,if only cmofficeup could think beyond politics for once thousands of poor people could have reach their home safely with their children and parent and without anymore struggle shame hope this torture will not be forget by these desperate souls,0,0,0,1263052430482104320,87734077,2020-05-20 10:22:20+00:00,,@CMOfficeUP,,"New Delhi, India",New Delhi,Delhi,India
1140,thesunilgarg,sex assault trump more than 20 women have accuse trump of sexualassault include rape you okay with that brother trump what be fact,2,4,0,1262736850004803585,367177642,2020-05-19 13:28:20+00:00,#SexualAssault #Rape,,,PANCHKULA,,Haryana,India
1142,Chaitalix10,bach gaye hum torture se,0,1,1,1263138844490125317,709332105940049920,2020-05-20 16:05:43+00:00,,,,"Mumbai, India",Mumbai,Maharashtra,India
1144,ianuragsaxena,media liberals be act as if migrant workers have come into existence only in 2020 during this covid crisis do they ever bother about these people in last 73 years since independence when u get any chance to abuse modi you use it to the maximum that be how it go in india,2,9,0,1263257811636629504,1091353692845064194,2020-05-20 23:58:27+00:00,,,,"New Delhi, India",New Delhi,Delhi,India
