Country name,Country Code,Region,Year of Survey,Survey Type,Subsample,Total population, Agriculture (aged 15-64), Industry (aged 15-64), Services (aged 15-64), Female in non-agricultural employment (aged 15-64),Youth in non-agricultural employment (aged 15-64), Mining (aged 15-64), Manufacturing (aged 15-64), Public utilities (aged 15-64), Construction (aged 15-64), Commerce (aged 15-64),Transport & Communication (aged 15-64),Financial and Business Services (aged 15-64),Public Administration (aged 15-64), Other services (aged 15-64), Senior Officials (aged 15-64), Professionals (aged 15-64), Technicians (aged 15-64), Clerks (aged 15-64), Service and Market Sales (aged 15-64), Skilled Agriculture (aged 15-64), Craft Workers (aged 15-64), Machine Operators (aged 15-64), Elementary Occupations (aged 15-64), Armed Forces
Angola,AGO,Sub-Saharan Africa,2008,ibep-,Lower education,10458304,0.6,0.05,0.35,0.32,0.34,0.0,0.02,0.0,0.03,0.18,0.04,0.0,0.03,0.09,0.01,0.01,0.02,0.01,0.1,0.45,0.07,0.04,0.26,0.02
Angola,AGO,Sub-Saharan Africa,2008,ibep-,Male,7883095,0.41,0.11,0.48,,0.51,0.0,0.04,0.01,0.06,0.13,0.08,0.01,0.09,0.17,0.03,0.04,0.06,0.02,0.09,0.33,0.14,0.07,0.18,0.03
Angola,AGO,Sub-Saharan Africa,2008,ibep-,Old worker,4908262,0.51,0.05,0.44,0.39,,0.0,0.02,0.0,0.03,0.19,0.04,0.0,0.06,0.15,0.02,0.04,0.05,0.02,0.11,0.38,0.07,0.04,0.25,0.02
Angola,AGO,Sub-Saharan Africa,2008,ibep-,Rural,7767732,0.55,0.05,0.4,0.34,0.37,0.0,0.02,0.0,0.03,0.18,0.03,0.0,0.05,0.14,0.02,0.03,0.05,0.02,0.09,0.37,0.08,0.03,0.28,0.02
Angola,AGO,Sub-Saharan Africa,2008,ibep-,Total,16367881,0.54,0.05,0.41,0.36,0.38,0.0,0.02,0.0,0.03,0.18,0.04,0.0,0.05,0.13,0.02,0.03,0.05,0.02,0.11,0.39,0.07,0.04,0.25,0.02
Angola,AGO,Sub-Saharan Africa,2008,ibep-,Urban,8599603,0.53,0.05,0.42,0.38,0.39,0.0,0.02,0.0,0.03,0.19,0.05,0.0,0.04,0.13,0.02,0.04,0.04,0.02,0.12,0.41,0.07,0.04,0.23,0.02
Angola,AGO,Sub-Saharan Africa,2008,ibep-,Young worker,3181724,0.62,0.06,0.32,0.29,0.38,0.0,0.02,0.0,0.04,0.17,0.04,0.0,0.01,0.09,0.0,0.02,0.03,0.02,0.11,0.42,0.09,0.04,0.27,0.01
Armenia,ARM,Europe and Central Asia,2016,ilcs,Female,1566217,0.38,0.09,0.53,0.62,0.69,0.0,0.07,0.01,0.0,0.13,0.03,0.04,0.05,0.29,,,,,,,,,,
Armenia,ARM,Europe and Central Asia,2016,ilcs,Higher education,2770740,0.33,0.19,0.48,0.62,0.65,0.01,0.09,0.03,0.06,0.13,0.06,0.03,0.08,0.18,,,,,,,,,,
Armenia,ARM,Europe and Central Asia,2016,ilcs,Lower education,212434,0.72,0.0,0.28,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.14,,,,,,,,,,
Armenia,ARM,Europe and Central Asia,2016,ilcs,Male,1416957,0.28,0.27,0.44,,0.62,0.03,0.1,0.04,0.11,0.13,0.09,0.03,0.11,0.08,,,,,,,,,,
Armenia,ARM,Europe and Central Asia,2016,ilcs,Old worker,1639257,0.33,0.19,0.48,0.61,,0.02,0.09,0.03,0.06,0.13,0.06,0.03,0.08,0.19,,,,,,,,,,
Armenia,ARM,Europe and Central Asia,2016,ilcs,Rural,1117402,0.66,0.1,0.24,0.26,0.35,0.0,0.03,0.01,0.05,0.05,0.03,0.01,0.06,0.1,,,,,,,,,,
Armenia,ARM,Europe and Central Asia,2016,ilcs,Total,2983174,0.33,0.19,0.48,0.62,0.65,0.01,0.09,0.03,0.06,0.13,0.06,0.03,0.08,0.18,,,,,,,,,,
Armenia,ARM,Europe and Central Asia,2016,ilcs,Urban,1865772,0.07,0.26,0.68,0.91,0.96,0.02,0.13,0.04,0.07,0.2,0.08,0.05,0.1,0.24,,,,,,,,,,
Armenia,ARM,Europe and Central Asia,2016,ilcs,Young worker,385228,0.35,0.14,0.51,0.69,0.65,0.01,0.08,0.01,0.04,0.17,0.07,0.05,0.09,0.13,,,,,,,,,,
Azerbaijan,AZE,Europe and Central Asia,2015,amssw,Female,4294931,0.45,0.07,0.48,0.55,0.43,0.0,0.05,0.01,0.01,0.06,0.01,0.03,0.28,0.1,,,,,,,,,,
Azerbaijan,AZE,Europe and Central Asia,2015,amssw,Higher education,6162119,0.31,0.23,0.46,0.58,0.63,0.0,0.09,0.03,0.11,0.07,0.05,0.04,0.21,0.09,,,,,,,,,,
Azerbaijan,AZE,Europe and Central Asia,2015,amssw,Lower education,2170865,0.49,0.21,0.3,0.35,0.46,0.0,0.07,0.01,0.14,0.06,0.03,0.02,0.08,0.11,,,,,,,,,,
Azerbaijan,AZE,Europe and Central Asia,2015,amssw,Male,4038052,0.24,0.36,0.4,,0.68,0.0,0.12,0.03,0.2,0.07,0.09,0.05,0.11,0.08,,,,,,,,,,
Azerbaijan,AZE,Europe and Central Asia,2015,amssw,Old worker,4584439,0.32,0.23,0.46,0.58,,0.0,0.09,0.03,0.11,0.07,0.05,0.04,0.2,0.09,,,,,,,,,,
Azerbaijan,AZE,Europe and Central Asia,2015,amssw,Rural,3442113,0.51,0.18,0.31,0.35,0.46,0.0,0.06,0.01,0.11,0.04,0.04,0.03,0.12,0.08,,,,,,,,,,
Azerbaijan,AZE,Europe and Central Asia,2015,amssw,Total,8332984,0.34,0.23,0.44,0.55,0.58,0.0,0.09,0.02,0.11,0.07,0.05,0.04,0.19,0.09,,,,,,,,,,
Azerbaijan,AZE,Europe and Central Asia,2015,amssw,Urban,4890870,0.2,0.26,0.54,0.72,0.68,0.0,0.11,0.03,0.11,0.09,0.06,0.05,0.24,0.1,,,,,,,,,,
Azerbaijan,AZE,Europe and Central Asia,2015,amssw,Young worker,1343187,0.42,0.23,0.34,0.43,0.58,0.0,0.08,0.01,0.14,0.07,0.03,0.03,0.12,0.09,,,,,,,,,,
Bangladesh,BGD,South Asia,2015,lfs,Female,78848651,0.63,0.16,0.21,0.37,0.52,0.0,0.15,0.0,0.01,0.02,0.01,0.01,0.12,0.05,0.01,0.06,0.01,0.01,0.04,0.41,0.14,0.04,0.28,0.0
Bangladesh,BGD,South Asia,2015,lfs,Higher education,69539892,0.31,0.21,0.48,0.47,0.66,0.0,0.16,0.01,0.04,0.17,0.08,0.03,0.2,0.0,0.05,0.11,0.04,0.03,0.2,0.22,0.17,0.07,0.11,0.0
Bangladesh,BGD,South Asia,2015,lfs,Lower education,88852897,0.52,0.2,0.29,0.31,0.65,0.0,0.13,0.0,0.06,0.1,0.12,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.13,0.36,0.15,0.08,0.27,0.0
Bangladesh,BGD,South Asia,2015,lfs,Male,79544137,0.35,0.22,0.44,,0.72,0.0,0.14,0.01,0.07,0.18,0.14,0.02,0.1,0.0,0.03,0.05,0.02,0.02,0.21,0.25,0.17,0.09,0.17,0.0
Bangladesh,BGD,South Asia,2015,lfs,Old worker,71189986,0.45,0.18,0.38,0.34,,0.0,0.12,0.01,0.05,0.14,0.1,0.02,0.1,0.02,0.02,0.05,0.02,0.01,0.16,0.32,0.14,0.07,0.2,0.0
Bangladesh,BGD,South Asia,2015,lfs,Rural,113802554,0.54,0.16,0.29,0.24,0.55,0.0,0.11,0.0,0.05,0.11,0.08,0.01,0.08,0.01,0.01,0.04,0.01,0.01,0.13,0.38,0.14,0.06,0.22,0.0
Bangladesh,BGD,South Asia,2015,lfs,Total,158392789,0.43,0.2,0.37,0.37,0.65,0.0,0.14,0.01,0.05,0.13,0.1,0.01,0.11,0.02,0.02,0.05,0.02,0.01,0.16,0.3,0.16,0.08,0.2,0.0
Bangladesh,BGD,South Asia,2015,lfs,Urban,44590235,0.14,0.3,0.57,0.76,0.9,0.0,0.22,0.01,0.06,0.19,0.14,0.03,0.17,0.03,0.05,0.08,0.03,0.03,0.23,0.09,0.21,0.11,0.16,0.0
Bangladesh,BGD,South Asia,2015,lfs,Young worker,27450111,0.35,0.31,0.35,0.52,0.65,0.0,0.23,0.01,0.07,0.12,0.09,0.01,0.12,0.01,0.01,0.06,0.01,0.01,0.14,0.23,0.26,0.09,0.19,0.0
Belarus,BLR,Europe and Central Asia,2016,lfs,Female,3937328,0.07,0.2,0.73,0.93,0.94,0.0,0.15,0.02,0.02,0.21,0.06,0.07,0.05,0.35,0.09,0.25,0.17,0.08,0.2,0.03,0.06,0.03,0.09,0.0
Belarus,BLR,Europe and Central Asia,2016,lfs,Higher education,7290652,0.1,0.31,0.59,0.93,0.91,0.01,0.18,0.05,0.08,0.16,0.09,0.06,0.05,0.23,0.11,0.18,0.11,0.05,0.14,0.03,0.16,0.13,0.08,0.0
Belarus,BLR,Europe and Central Asia,2001,hss,Lower education,820077,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Europe and Central Asia,2016,lfs,Male,3353324,0.13,0.44,0.43,,0.89,0.01,0.22,0.07,0.14,0.1,0.12,0.05,0.06,0.09,0.13,0.11,0.06,0.01,0.08,0.03,0.27,0.24,0.07,0.0
Belarus,BLR,Europe and Central Asia,2016,lfs,Old worker,5606518,0.1,0.32,0.58,0.93,,0.0,0.19,0.05,0.08,0.15,0.09,0.06,0.05,0.23,0.11,0.18,0.11,0.05,0.14,0.03,0.16,0.14,0.08,0.0
Belarus,BLR,Europe and Central Asia,2016,lfs,Rural,1532388,0.35,0.2,0.46,0.72,0.69,0.01,0.09,0.04,0.05,0.09,0.07,0.03,0.05,0.23,0.1,0.11,0.1,0.03,0.14,0.11,0.12,0.17,0.11,0.0
Belarus,BLR,Europe and Central Asia,2016,lfs,Total,7290652,0.1,0.31,0.59,0.93,0.91,0.01,0.18,0.05,0.08,0.16,0.09,0.06,0.05,0.23,0.11,0.18,0.11,0.05,0.14,0.03,0.16,0.13,0.08,0.0
Belarus,BLR,Europe and Central Asia,2016,lfs,Urban,5758264,0.03,0.34,0.62,0.98,0.96,0.0,0.2,0.05,0.09,0.18,0.1,0.07,0.06,0.23,0.11,0.2,0.12,0.05,0.15,0.01,0.17,0.12,0.07,0.0
Belarus,BLR,Europe and Central Asia,2016,lfs,Young worker,910241,0.09,0.26,0.66,0.94,0.91,0.01,0.14,0.03,0.07,0.24,0.09,0.07,0.09,0.17,0.08,0.2,0.14,0.07,0.19,0.01,0.17,0.08,0.07,0.0
Belize,BLZ,Latin America and Caribbean,1999,lfs,Female,121962,0.06,0.12,0.82,0.94,0.92,0.0,0.11,0.0,0.01,0.33,0.02,0.04,0.32,0.11,0.16,0.04,0.16,0.13,0.17,0.0,0.04,0.02,0.27,0.0
Belize,BLZ,Latin America and Caribbean,1999,lfs,Higher education,91054,0.05,0.14,0.8,1.0,0.91,0.0,0.08,0.02,0.04,0.25,0.07,0.08,0.37,0.03,0.16,0.07,0.23,0.15,0.13,0.01,0.08,0.04,0.11,0.01
Belize,BLZ,Latin America and Caribbean,1999,lfs,Lower education,152801,0.38,0.19,0.43,0.88,0.53,0.0,0.1,0.01,0.07,0.22,0.04,0.02,0.1,0.05,0.16,0.0,0.02,0.01,0.09,0.11,0.13,0.09,0.4,0.0
Belize,BLZ,Latin America and Caribbean,1999,lfs,Male,121893,0.36,0.2,0.45,,0.58,0.01,0.09,0.02,0.09,0.18,0.07,0.04,0.14,0.01,0.16,0.02,0.07,0.03,0.07,0.11,0.15,0.1,0.3,0.01
Belize,BLZ,Latin America and Caribbean,1999,lfs,Old worker,84477,0.24,0.18,0.58,0.94,,0.0,0.09,0.02,0.06,0.23,0.06,0.03,0.22,0.04,0.2,0.03,0.1,0.05,0.1,0.09,0.12,0.08,0.23,0.01
Belize,BLZ,Latin America and Caribbean,1999,lfs,Rural,131151,0.47,0.15,0.38,0.85,0.49,0.0,0.09,0.01,0.05,0.16,0.03,0.02,0.12,0.04,0.15,0.01,0.06,0.03,0.07,0.13,0.09,0.08,0.39,0.0
Belize,BLZ,Latin America and Caribbean,1999,lfs,Total,243855,0.26,0.17,0.57,0.94,0.68,0.0,0.09,0.01,0.06,0.23,0.05,0.04,0.2,0.04,0.16,0.03,0.09,0.06,0.1,0.07,0.11,0.07,0.29,0.01
Belize,BLZ,Latin America and Caribbean,1999,lfs,Urban,112704,0.04,0.2,0.77,1.0,0.96,0.01,0.1,0.02,0.07,0.3,0.08,0.06,0.28,0.05,0.17,0.04,0.13,0.1,0.14,0.02,0.14,0.06,0.19,0.01
Belize,BLZ,Latin America and Caribbean,1999,lfs,Young worker,48034,0.32,0.16,0.52,0.92,0.68,0.0,0.09,0.01,0.06,0.22,0.05,0.05,0.15,0.05,0.04,0.01,0.07,0.1,0.11,0.04,0.11,0.06,0.45,0.01
Benin,BEN,Sub-Saharan Africa,2011,emico,Female,4412289,0.36,0.17,0.46,0.64,0.65,0.0,0.17,0.0,0.0,0.0,0.35,0.0,0.01,0.1,,,,,,,,,,
Benin,BEN,Sub-Saharan Africa,2011,emico,Higher education,2839917,0.13,0.18,0.69,0.94,0.76,0.0,0.16,0.01,0.01,0.04,0.29,0.02,0.04,0.31,,,,,,,,,,
Benin,BEN,Sub-Saharan Africa,2011,emico,Lower education,5857697,0.47,0.17,0.35,0.6,0.54,0.01,0.15,0.01,0.0,0.02,0.26,0.0,0.0,0.07,,,,,,,,,,
Benin,BEN,Sub-Saharan Africa,2011,emico,Male,4285326,0.47,0.17,0.36,,0.48,0.02,0.14,0.01,0.01,0.05,0.17,0.01,0.01,0.12,,,,,,,,,,
Benin,BEN,Sub-Saharan Africa,2011,emico,Old worker,2806888,0.41,0.17,0.42,0.63,,0.01,0.15,0.01,0.0,0.02,0.28,0.0,0.01,0.1,,,,,,,,,,
Benin,BEN,Sub-Saharan Africa,2011,emico,Rural,5051983,0.58,0.15,0.27,0.49,0.44,0.01,0.13,0.0,0.0,0.02,0.19,0.0,0.0,0.06,,,,,,,,,,
Benin,BEN,Sub-Saharan Africa,2011,emico,Total,8697615,0.41,0.17,0.41,0.64,0.58,0.01,0.16,0.01,0.0,0.03,0.27,0.0,0.01,0.11,,,,,,,,,,
Benin,BEN,Sub-Saharan Africa,2011,emico,Urban,3645632,0.18,0.21,0.61,0.84,0.8,0.0,0.19,0.01,0.01,0.04,0.37,0.01,0.02,0.18,,,,,,,,,,
Benin,BEN,Sub-Saharan Africa,2011,emico,Young worker,1410313,0.42,0.2,0.38,0.65,0.58,0.01,0.19,0.01,0.0,0.03,0.19,0.0,0.01,0.14,,,,,,,,,,
Bhutan,BTN,South Asia,2017,blss,Female,350049,0.66,0.08,0.27,0.34,0.42,0.0,0.06,0.0,0.01,0.13,0.01,0.02,0.04,0.07,0.03,0.11,0.05,0.05,0.23,0.38,0.04,0.05,0.07,0.0
Bhutan,BTN,South Asia,2017,blss,Higher education,162447,0.13,0.18,0.68,0.85,0.7,0.01,0.12,0.0,0.05,0.16,0.05,0.09,0.17,0.21,0.08,0.31,0.14,0.08,0.19,0.05,0.05,0.06,0.03,0.01
Bhutan,BTN,South Asia,2017,blss,Lower education,515991,0.69,0.09,0.21,0.2,0.25,0.0,0.05,0.0,0.04,0.07,0.03,0.01,0.06,0.04,0.03,0.03,0.02,0.03,0.14,0.43,0.08,0.11,0.09,0.03
Bhutan,BTN,South Asia,2017,blss,Male,328389,0.49,0.15,0.37,,0.45,0.01,0.08,0.0,0.06,0.07,0.05,0.03,0.12,0.09,0.05,0.14,0.07,0.05,0.11,0.25,0.09,0.12,0.08,0.04
Bhutan,BTN,South Asia,2017,blss,Old worker,327536,0.56,0.11,0.33,0.33,,0.0,0.07,0.0,0.04,0.09,0.04,0.03,0.09,0.08,0.05,0.13,0.06,0.05,0.15,0.3,0.07,0.1,0.07,0.02
Bhutan,BTN,South Asia,2017,blss,Rural,456070,0.77,0.07,0.16,0.15,0.24,0.0,0.03,0.0,0.04,0.05,0.02,0.01,0.04,0.05,0.03,0.08,0.03,0.02,0.11,0.51,0.07,0.07,0.08,0.01
Bhutan,BTN,South Asia,2017,blss,Total,678438,0.56,0.12,0.32,0.34,0.43,0.0,0.07,0.0,0.04,0.09,0.03,0.03,0.09,0.08,0.04,0.13,0.06,0.05,0.16,0.3,0.07,0.09,0.07,0.02
Bhutan,BTN,South Asia,2017,blss,Urban,222368,0.07,0.22,0.71,0.89,0.93,0.01,0.16,0.0,0.05,0.2,0.06,0.08,0.21,0.15,0.06,0.19,0.1,0.09,0.22,0.02,0.08,0.13,0.06,0.04
Bhutan,BTN,South Asia,2017,blss,Young worker,115604,0.57,0.14,0.29,0.42,0.43,0.0,0.08,0.0,0.06,0.14,0.02,0.02,0.04,0.06,0.02,0.08,0.06,0.05,0.19,0.31,0.08,0.08,0.12,0.01
Bolivia,BOL,Latin America and Caribbean,2015,eh0,Female,5488247,0.26,0.11,0.63,0.74,0.68,0.0,0.1,0.0,0.01,0.35,0.02,0.05,0.03,0.18,0.02,0.11,0.04,0.05,0.34,0.25,0.09,0.0,0.1,0.0
Bolivia,BOL,Latin America and Caribbean,2015,eh0,Higher education,6318066,0.13,0.25,0.62,0.88,0.74,0.02,0.13,0.01,0.1,0.24,0.09,0.07,0.05,0.16,0.03,0.15,0.07,0.05,0.2,0.13,0.2,0.1,0.07,0.0
Bolivia,BOL,Latin America and Caribbean,2015,eh0,Lower education,4578224,0.45,0.21,0.34,0.56,0.55,0.02,0.08,0.0,0.11,0.2,0.06,0.01,0.01,0.05,0.01,0.0,0.01,0.0,0.19,0.44,0.18,0.08,0.09,0.0
Bolivia,BOL,Latin America and Caribbean,2015,eh0,Male,5408043,0.25,0.32,0.43,,0.72,0.04,0.12,0.01,0.17,0.14,0.12,0.05,0.04,0.08,0.02,0.08,0.06,0.02,0.09,0.23,0.27,0.16,0.06,0.0
Bolivia,BOL,Latin America and Caribbean,2015,eh0,Old worker,4744907,0.24,0.23,0.53,0.76,,0.02,0.11,0.0,0.1,0.22,0.08,0.05,0.04,0.13,0.02,0.11,0.05,0.03,0.19,0.23,0.19,0.1,0.07,0.0
Bolivia,BOL,Latin America and Caribbean,2015,eh0,Rural,3427176,0.68,0.14,0.18,0.28,0.31,0.04,0.04,0.0,0.06,0.08,0.03,0.01,0.02,0.05,0.01,0.02,0.02,0.01,0.08,0.66,0.09,0.06,0.05,0.0
Bolivia,BOL,Latin America and Caribbean,2015,eh0,Total,10896290,0.25,0.24,0.51,0.74,0.71,0.02,0.11,0.0,0.1,0.23,0.08,0.05,0.04,0.12,0.02,0.09,0.05,0.03,0.19,0.24,0.19,0.09,0.08,0.0
Bolivia,BOL,Latin America and Caribbean,2015,eh0,Urban,7469114,0.04,0.28,0.68,0.97,0.96,0.01,0.14,0.0,0.12,0.3,0.1,0.07,0.05,0.16,0.03,0.13,0.07,0.05,0.25,0.04,0.24,0.11,0.09,0.0
Bolivia,BOL,Latin America and Caribbean,2015,eh0,Young worker,2048731,0.29,0.26,0.44,0.68,0.71,0.02,0.11,0.0,0.13,0.25,0.06,0.03,0.02,0.08,0.01,0.02,0.04,0.04,0.2,0.27,0.22,0.07,0.13,0.0
Bosnia and Herzegovina,BIH,Europe and Central Asia,2007,hbs,Female,1762908,0.12,0.17,0.71,0.88,0.88,0.01,0.14,0.02,0.01,0.29,0.03,0.05,0.05,0.3,0.02,0.11,0.14,0.14,0.29,0.1,0.04,0.03,0.12,0.0
Bosnia and Herzegovina,BIH,Europe and Central Asia,2007,hbs,Higher education,3447156,0.13,0.33,0.54,0.88,0.88,0.02,0.15,0.03,0.13,0.2,0.07,0.03,0.06,0.18,0.02,0.07,0.15,0.08,0.2,0.1,0.08,0.1,0.17,0.01
Bosnia and Herzegovina,BIH,Europe and Central Asia,2001,lsms,Lower education,1678147,0.29,0.44,0.27,0.66,0.61,0.04,0.26,0.01,0.13,0.08,0.05,0.01,0.02,0.1,0.01,0.0,0.0,0.0,0.07,0.14,0.18,0.12,0.47,0.0
Bosnia and Herzegovina,BIH,Europe and Central Asia,2007,hbs,Male,1684248,0.14,0.41,0.45,,0.88,0.03,0.15,0.04,0.19,0.16,0.09,0.02,0.06,0.12,0.03,0.05,0.16,0.04,0.16,0.1,0.11,0.13,0.19,0.02
Bosnia and Herzegovina,BIH,Europe and Central Asia,2007,hbs,Old worker,1818853,0.13,0.34,0.53,0.88,,0.02,0.15,0.04,0.13,0.19,0.07,0.03,0.06,0.19,0.03,0.08,0.15,0.08,0.19,0.1,0.08,0.1,0.17,0.01
Bosnia and Herzegovina,BIH,Europe and Central Asia,2007,hbs,Rural,2097159,0.21,0.38,0.41,0.75,0.81,0.03,0.16,0.02,0.17,0.17,0.06,0.01,0.04,0.12,0.02,0.03,0.12,0.04,0.18,0.17,0.1,0.11,0.2,0.01
Bosnia and Herzegovina,BIH,Europe and Central Asia,2007,hbs,Total,3447156,0.13,0.33,0.54,0.88,0.88,0.02,0.15,0.03,0.13,0.2,0.07,0.03,0.06,0.18,0.02,0.07,0.15,0.08,0.2,0.1,0.08,0.1,0.17,0.01
Bosnia and Herzegovina,BIH,Europe and Central Asia,2007,hbs,Urban,1349996,0.03,0.28,0.69,0.98,0.98,0.01,0.14,0.05,0.08,0.24,0.07,0.04,0.09,0.26,0.04,0.12,0.19,0.12,0.23,0.01,0.06,0.08,0.12,0.01
Bosnia and Herzegovina,BIH,Europe and Central Asia,2007,hbs,Young worker,506216,0.12,0.3,0.58,0.88,0.88,0.01,0.14,0.02,0.13,0.37,0.06,0.03,0.01,0.12,0.0,0.01,0.12,0.04,0.38,0.09,0.09,0.08,0.18,0.0
Botswana,BWA,Sub-Saharan Africa,2009,bcwis,Female,940056,0.19,0.11,0.7,0.81,0.8,0.01,0.07,0.01,0.03,0.15,0.01,0.09,0.19,0.26,0.03,0.16,0.01,0.1,0.19,0.13,0.04,0.01,0.33,0.0
Botswana,BWA,Sub-Saharan Africa,2009,bcwis,Higher education,573559,0.1,0.2,0.7,0.93,0.78,0.04,0.07,0.02,0.06,0.11,0.03,0.1,0.22,0.24,0.06,0.3,0.03,0.09,0.16,0.05,0.02,0.04,0.23,0.01
Botswana,BWA,Sub-Saharan Africa,2009,bcwis,Lower education,1224003,0.32,0.19,0.49,0.73,0.62,0.02,0.07,0.01,0.09,0.11,0.03,0.07,0.14,0.14,0.01,0.03,0.01,0.04,0.15,0.16,0.04,0.07,0.49,0.0
Botswana,BWA,Sub-Saharan Africa,2009,bcwis,Male,857506,0.27,0.26,0.47,,0.61,0.04,0.07,0.02,0.13,0.08,0.04,0.08,0.16,0.12,0.04,0.12,0.03,0.03,0.13,0.1,0.02,0.1,0.43,0.01
Botswana,BWA,Sub-Saharan Africa,2009,bcwis,Old worker,741481,0.22,0.19,0.59,0.81,,0.03,0.07,0.02,0.08,0.1,0.03,0.09,0.19,0.18,0.04,0.15,0.02,0.06,0.15,0.11,0.03,0.07,0.37,0.0
Botswana,BWA,Sub-Saharan Africa,2009,bcwis,Rural,777556,0.49,0.13,0.39,0.61,0.45,0.01,0.03,0.01,0.08,0.06,0.02,0.03,0.15,0.13,0.02,0.06,0.01,0.02,0.1,0.23,0.02,0.03,0.49,0.0
