,id,title,published_date,location,description,processed_text,label
17,vk4RQIKsqZI,Thank god you were falsely accused of rape/sexual harassment,2020-05-13T04:44:57Z,IN,"Thank god you were falsely accused of rape/sexual harassment, because at least you did not marry the same person, who you would have to then pay ...","thank god falsely accused rape/sexual harassment, least marry person, would pay ...",DV
18,4wYfw6N9COQ,మానవ అక్రమ రవాణా అరికట్టేదెలా? | Childhood Sexual Abuse &amp; WORKPLACE HARASSMENT LAWS | Snehatvtelugu,2020-01-07T16:56:43Z,IN,మానవ అక్రమ రవాణా అరికట్టేదెలా? | Childhood Sexual Abuse & WORKPLACE HARASSMENT LAWS | Snehatvtelugu Sneha TV 24/7 Telugu News ...,మానవ అక్రమ రవాణా అరికట్టేదెలా? | childhood sexual abuse & workplace harassment laws | snehatvtelugu sneha tv 24/7 telugu news ...,DV
19,rSvvLmbTvUc,Florida Cop Abuses and Arrests Senior Citizen - More Police Harassment and Abuse - Updates,2020-02-23T03:03:48Z,IN,AMS News - ALWAYS Film The Police - It's Your Right. Check out our store and please consider a purchase to help offset some of the costs (records/FOIA ...,am news - always film police - right. check store please consider purchase help offset costs (records/foia ...,NO_DV
20,6t4kf7GORjc,"Outraging the Modesty of Women - Harassment, Voyeurism, Stalking - Indian Penal Code",2020-01-29T14:30:00Z,IN,If the explanation was helpful do not forget to subscribe. And don't forget to drop a like too. Check out other Videos on IPC. Actus Reus and Mens Rea ...,explanation helpful forget subscribe. forget drop like too. check video ipc. actus reus men rea ...,DV
21,eUojTgO3YC4,UNICEF Certification Course | Prevention of Sexual Harassment and Abuse of Authority,2020-05-02T17:44:46Z,IN,This self-learning course is designed to raise awareness of the UN's zero tolerance of workplace harassment and abuse of authority. The course provides ...,self-learning course design raise awareness un's zero tolerance workplace harassment abuse authority. course provide ...,NO_DV
22,HujPlUyTXRY,Officers Nearly Beat Innocent College Student to Death—Then Claim Immunity from All Accountability,2020-02-15T01:25:28Z,IN,"You probably don't know it, but federal agents are working closely with police where you live. Over the past few decades, joint task forces staffed by both state ...","probably know it, federal agent working closely police live. past decades, joint task force staff state ...",NO_DV
23,YhS6mMF6Y_Y,EXPLAINER: Youth pushes PH anti-sexual harassment movement further,2020-01-28T12:48:09Z,IN,Follow Rappler for the latest news in the Philippines and across the globe. Students and youth groups demand accountability in sexual harassment cases and ...,follow rappler latest news philippines across globe. student youth group demand accountability sexual harassment case ...,DV
24,pWdO0GUJXPw,Indian Women Talk About Growing Rape Incidents and How Sexual Harassment Affects Their Life,2020-05-15T15:48:59Z,IN,"Coming across numerous cases of horrendous crime in newspapers, social media, and mainstream media every day, we wonder what could be the factors ...","coming across numerous case horrendous crime newspapers, social media, mainstream medium every day, wonder could factor ...",
25,5BMPgqcLepE,Against Harassment 2020 #ItsNotOk,2020-03-05T06:32:09Z,IN,"Subtitles available in English, Arabic, Spanish, Portuguese, Kannada, Malayalam, Tamil, Telugu, Hindi) Call and SMS harassment is a worldwide problem.","subtitle available english, arabic, spanish, portuguese, kannada, malayalam, tamil, telugu, hindi) call sm harassment worldwide problem.",NO_DV
26,dZRtjrpstEo,Aarti Singh REVEALS About S€XUAL Harassment In Her Childhood | Bigg Boss 13,2020-01-11T15:45:00Z,IN,Arti Singh and Madhurima talks about their horrifying past experience in their childhood. Watch the whole story to know more. Reporter Bushra Ansari Editor ...,arti singh madhurima talks horrify past experience childhood. watch whole story know more. reporter bushra ansari editor ...,
27,5h_SetlQJ9E,RETRO: An Interview On Sexual Harassment In Politics With Barbara Carlson,2020-05-19T16:00:07Z,IN,Rabbi Friedman being interviewed by talk show host Barbara Carlson on KSTP Radio in Minnesota. Rabbi Manis Friedman gives us a deeper understanding to ...,rabbi friedman interview talk show host barbara carlson kstp radio minnesota. rabbi manis friedman give us deep understanding ...,
28,g-dJWsUETjQ,Aisha Yesufu speaks on ASUU and the Anti- Sexual Harassment Bill,2020-02-18T12:10:42Z,IN,'Bring Back Our Girls' (#BBOG) convener speaks on ASSU's remarks against the Anti-Sexual Harassment bill and rape in Nigeria.,'bring back girls' (#bbog) convener speak assu's remark anti-sexual harassment bill rape nigeria.,DV
29,UKwRdRh_Lcw,"Matunga Railway Bridge पर Mumbai Police ने  Molester पकड़ा, Sexual Harassment के charges नहीं लगे",2020-02-08T09:29:12Z,IN,Mumbai's railway police arrested Raijur Habibur Khan on Thursday who is accused of molesting women on a railway bridge in Matunga. Since no women came ...,mumbai's railway police arrest raijur habibur khan thursday accused molest woman railway bridge matunga. since woman come ...,
30,CSNnUuCSV28,Nirbhaya Convict Mukesh sexual harassment in Jail: निर्भया के इस गुनाहगार का जेल में यौन उत्पीड़न,2020-01-28T11:42:22Z,IN,Nirbhaya Convicts Mukesh sexual harassment in Jail: निर्भया के इस गुनाहगार का जेल में यौन उत्पीड़न #NirbhayaConvicts...,nirbhaya convict mukesh sexual harassment jail: निर्भया के इस गुनाहगार का जेल में यौन उत्पीड़न #nirbhayaconvicts...,DV
31,YuoIp_75o-A,McDonald&#39;s Facing Sexual Harassment Suit,2020-04-13T22:16:17Z,IN,Current and former McDonald's workers filed a class-action suit alleging corporate-owned stores ignored widespread sexual harassment and abuse.,current former mcdonald's worker file class-action suit allege corporate-owned store ignore widespread sexual harassment abuse.,DV
32,HPL-DkSgR8I,2nd Kerala Nun Accuses Bishop Franco Mulakkal Of Sexual Harassment | CNN News18,2020-02-21T12:56:49Z,IN,"A second Kerala nun has now accused Bishop Franco Mulakkal, of sexual harassment. She is also a witness in the other nun's case against the bishop.","second kerala nun accused bishop franco mulakkal, sexual harassment. also witness nun's case bishop.",DV
33,GQqIKYrpU-8,Lipstick gun: new weapon to fight against sexual harassment in India,2020-01-17T19:00:18Z,IN,"Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube Shyam Chaurasia, a local inventor from the northern Indian city of Varanasi, ...","subscribe channel free here: shyam chaurasia, local inventor northern indian city varanasi, ...",
34,-mi6CfKpHGI,"Lady Doctor On Covid-19 Duty Abused By Neighbours, India Heading Towards Stage 3? |To The Point",2020-04-07T02:31:12Z,IN,"Citizens who will beat thalis, light candles, clap for the eoctors, the frontline warriors of coronavirus in India, will also humiliate, abuse, threaten them when it ...","citizen beat thalis, light candles, clap eoctors, frontline warrior coronavirus india, also humiliate, abuse, threaten ...",
35,tIQieWuw_pQ,Child Harassment/Abuse In Pakistan,2020-03-01T08:30:05Z,IN,"Like , Share and Subscribe our Channel and Follow Us On http://www.nanews.pk facebook.com/nanews.official twitter.com/nanews_pk Thank you So Much.","like , share subscribe channel follow us facebook.com/nanews.official twitter.com/nanews_pk thank much.",
36,_cKFOilKmVI,Pressure on Government to evacuate Kenyans from China following images of harassment of Africans,2020-04-12T18:15:59Z,IN,Kenya #KTNNews #KTNPrime #COVID19 #CoronaVirus SUBSCRIBE to our YouTube channel for more great videos: https://www.youtube.com/ Follow us on ...,kenya #ktnnews #ktnprime #covid19 #coronavirus subscribe channel great videos: follow us ...,
37,_bGe-RF9zFk,"S4E9 Denise Koster - Elder abuse, bullying and harassment",2020-04-01T22:44:49Z,IN,"Denise Koster, has worked in the area of violence since 1985. Denise provides management and labour groups with investigation services, practical education, ...","denise koster, work area violence since 1985. denise provide management labour group investigation services, practical education, ...",NO_DV
38,7M2PBsyjtho,Kasi alias Suji - Nagercoil Sexual Harassment Case ( Part - 1 ),2020-04-27T20:57:59Z,IN,ChinmayiSripada #Nagercoil #Harassmentcase Shut the Phone Up - Campaign Link https://www.youtube.com/watch?v=wlflTAEAOGM&t=5s Superintendent of ...,chinmayisripada #nagercoil #harassmentcase shut phone - campaign link superintendent ...,NO_DV
39,YVxtpIwMsaU,Sam Heughan Calls Out Bullies,2020-04-17T20:30:02Z,IN,"After Sam Heughan revealed he's been dealing with bullies and stalkers for years, Carlos Bustamante and Graeme O'Neil react during ""ET Canada Live"".","sam heughan reveal he's dealing bully stalker years, carlos bustamante graeme o'neil react ""et canada live"".",
40,ygD6WipMixg,Block 1 | Emotional Impact of online harassment,2020-01-27T06:55:50Z,IN,"What are the risks? The potential impact of online abuse and harassment: - Derived from sustained, threatening harassment - Derived from constant, ...","risks? potential impact online abuse harassment: - derive sustained, threaten harassment - derive constant, ...",NO_DV
41,9L-Csgfw1V4,Against Harassment 2020 / Violet #ItsNotOk,2020-03-10T09:00:02Z,IN,"This is Violet from Kenya, and this is her #ItsNotOk story. Call and SMS harassment is a worldwide problem. Truecaller expanded its annual research of the ...","violet kenya, #itsnotok story. call sm harassment worldwide problem. truecaller expand annual research ...",DV
42,R3AyJcMhsj4,Russell Simmons Accusers Talk the Controversial Documentary and Oprah&#39;s Exit,2020-02-07T22:23:35Z,IN,"On the Record,” a documentary that presents the former music executive Drew Dixon's accusations of sexual harassment and rape against the hip-hop mogul ...","record,” documentary present former music executive drew dixon's accusation sexual harassment rape hip-hop mogul ...",DV
43,O2iNXB3cNt4,"Sexual Harassment Scandal: Tanya Washington, Law Professor",2020-02-25T09:56:51Z,IN,Professor of Law at Georgia State University College of Law Tanya Washington reacts to Harvey Weinstein's sexual assault and rape convictions.,professor law georgia state university college law tanya washington react harvey weinstein's sexual assault rape convictions.,DV
44,CXla5IO4IeY,If Robbery was treated like Sexual Harassment | Instant Kooky,2020-05-15T12:32:49Z,IN,"If Robbery was treated like Sexual Harassment. We have heard too much of ""Not all men"" debate whenever anyone tries to speak against sexual harassment, ...","robbery treat like sexual harassment. hear much ""not men"" debate whenever anyone try speak sexual harassment, ...",DV
45,pA_Wt22f6gs,Woman accuses Joe Biden of sexual assault | WNT,2020-04-30T23:42:21Z,IN,"The campaign for the presidential candidate said the claim is untrue: ""This absolutely did not happen."" WATCH THE FULL EPISODE OF 'WORLD NEWS ...","campaign presidential candidate say claim untrue: ""this absolutely happen."" watch full episode 'world news ...",
46,4-4hDCYEHyM,Michigan Senator files sexual harassment complaint against colleague,2020-01-21T22:07:31Z,IN,Michigan senator says her colleague made her feel like a 'piece of meat' on her very first day in Lansing.,michigan senator say colleague make feel like 'piece meat' first day lansing.,
47,wLTJVnQRwwM,Domestic abuse surges in UK amid lockdown,2020-04-17T16:46:03Z,IN,We have been encouraged to stay indoors to keep others safe as well as ourselves. But it is a dangerous scenario for women who face domestic violence ...,encourage stay indoors keep others safe well ourselves. dangerous scenario woman face domestic violence ...,DV
48,4rbZthLqd9c,"Biden complaint did not say ‘sexual harassment,’ says Reade",2020-05-03T19:46:50Z,IN,"Democratic candidate for president Joe Biden continues to face an allegation of sexual assault from Tara Reade, who worked for Biden 27 years ago in his ...","democratic candidate president joe biden continue face allegation sexual assault tara reade, work biden 27 years ago ...",DV
49,jGFAs3uG8LI,3rd woman accuses state senator of sexual harassment,2020-01-27T23:14:38Z,IN,Women say politician touched them inappropriately.,woman say politician touch inappropriately.,
50,Wxmza9ok5Kk,Protest For Justice | Widow Woman Commits Suicide With Teacher Sexual harassment | at Bodh in Adilab,2020-02-08T12:23:30Z,IN,Protest For Justice | Widow Woman Commits Suicide With Teacher Sexual harassment | at Bodh in Adilab #LatestNews #EtvAndhraPradesh.,protest justice | widow woman commit suicide teacher sexual harassment | bodh adilab #latestnews #etvandhrapradesh.,DV
51,ApAeZlFKDaM,"&quot;Molested, harassed, followed home&quot; At Gargi College Mass Sexual Abuse &amp; Assault",2020-02-10T09:57:41Z,IN,"Gargi College students recount the last day of their college fest on 6 Feb when hordes of men barged in and sexually harassed, molested and cornered students ...","gargi college student recount last day college fest 6 feb horde men barge sexually harassed, molest corner student ...",DV
52,KS8OQvlpXa0,Top Atlantis officer accused of sexual harassment,2020-01-06T16:46:01Z,IN,A top cop from Atlantis in Cape Town is under investigation. Two female officers have opened a case of sexual assault against him. Courtesy #DStv403.,top cop atlantis cape town investigation. two female officer open case sexual assault him. courtesy #dstv403.,DV
53,IgVZbvL0PXg,Tara Reade and Megyn Kelly Discuss Biden Assault Accusation,2020-05-08T22:57:36Z,IN,"Tara Reade, the former Congressional staffer who has accused Joe Biden of sexually assaulting her when she worked for him in the 1990s, is speaking out in a ...","tara reade, former congressional staffer accused joe biden sexually assault work 1990s, speaking ...",DV
54,hblpN1BOCaw,What we know about a sexual assault allegation against Joe Biden,2020-04-18T00:55:42Z,IN,"A woman has come forward alleging that former Vice President Joe Biden sexually assaulted her in 1993, when she was an employee in his Senate office.","woman come forward allege former vice president joe biden sexually assault 1993, employee senate office.",DV
55,HNhSHfsfhpk,Does the B.D.F. Tolerate Sexual Harassment of its Female Staff? One Victim Speaks Out,2020-02-03T17:18:20Z,IN,"For the latest news across Belize, visit: http://edition.channel5belize.com/ Tonight we bring you more of our interview with the member of the civilian staff at the ...","latest news across belize, visit: tonight bring interview member civilian staff ...",
56,VyBCr90smyc,Pelosi says she&#39;s &#39;satisfied&#39; with Biden&#39;s denial of sexual assault accusation,2020-04-27T20:03:54Z,IN,"Nancy Pelosi endorses Biden, amid sexual assault allegations; Jacqui Heinrich reports. #FoxNews FOX News operates the FOX News Channel (FNC), FOX ...","nancy pelosi endorse biden, amid sexual assault allegations; jacqui heinrich reports. #foxnews fox news operate fox news channel (fnc), fox ...",DV
57,sFtkNRKAgZE,Joe Biden Speaks On Sexual Assault Accusation: ‘The Claims Are False’ | MSNBC,2020-05-02T16:18:58Z,IN,"In an MSNBC exclusive, presumptive Democratic presidential nominee Joe Biden directly addressed sexual assault allegations against him on Friday, saying, ...","msnbc exclusive, presumptive democratic presidential nominee joe biden directly address sexual assault allegation friday, saying, ...",DV
58,tXjkosQwJ5g,Weinstein trial is &#39;getting closer to the reality&#39; of sexual harassment,2020-02-26T00:07:24Z,IN,UTS Discrimination Law Expert Dr Karen O'Connell says the results of Harvey Weinstein's trial are “really exciting because we know what sexual assault and ...,ut discrimination law expert dr karen o'connell say result harvey weinstein's trial “really excite know sexual assault ...,DV
59,62BQx_6ObAI,LETS PUT A FULL STOP TO DOMESTIC VIOLENCE | INITIATIVE BY JFW,2020-04-29T13:30:00Z,IN,"As the world shuts itself indoors to stop the spread of one crisis a new crisis arises from the shadows. Amid lockdown, a high spike in the number of domestic ...","world shut indoors stop spread one crisis new crisis arise shadows. amid lockdown, high spike number domestic ...",DV
60,3l9CKbz0PSk,Molestowanie seksualne - jak reagować?,2020-01-20T11:00:12Z,IN,"Molestowanie seksualne to nie tylko wykorzystanie cielesności drugiej osoby. Jakie zachowania nazywamy molestowaniem seksualnym? Co zrobić, gdy ...","molestowanie seksualne nie tylko wykorzystanie cielesności drugiej osoby. jakie zachowania nazywamy molestowaniem seksualnym? co zrobić, gdy ...",
61,ZSCKgCxzKwM,This is Lauren’s story of sexual assault. Her experience is not unique | ABC News,2020-01-28T00:21:19Z,IN,Lauren's experience is not unique. Hers is among an escalating number of reported sexual assaults that never make it past the police. Of the more than 140000 ...,lauren's experience unique. among escalate number report sexual assault never make past police. 140000 ...,DV
62,-JjKKKETw5w,Laura Clary Discusses Sexual Assault and Violence at Home During COVID-19,2020-04-20T16:44:43Z,IN,"In this era of healthcare reform, GBMC is moving toward a patient-centered, evidence-based medicine model where physicians and care teams focus on a ...","era healthcare reform, gbmc move toward patient-centered, evidence-based medicine model physician care team focus ...",
63,tiYPLx1wfmo,"Female Doctors Assaulted, Harassed in Delhi &amp; Surat | COVID-19 India",2020-04-09T15:01:54Z,IN,"A 42-year-old man was arrested for assaulting 2 female doctors in Delhi, after accusing them of 'spreading' COVID-19. Another female doctor was harassed in ...","42-year-old man arrest assault 2 female doctor delhi, accuse 'spreading' covid-19. another female doctor harass ...",NO_DV
64,eoG1P7IHD0E,Kanpur Horror: Mother Of Rape Victim Beaten To Death By Accused Men,2020-01-18T07:12:26Z,IN,"In a horrific incident from Uttar Pradesh, a woman was beaten to death in Kanpur by men accused of attempting to rape her daughter. The incident, which took ...","horrific incident uttar pradesh, woman beat death kanpur men accused attempt rape daughter. incident, take ...",DV
65,Oc2xcvvOYL8,Gender Justice   Sexual Harassment (2) 17 March 20,2020-03-18T11:26:17Z,IN,Second Zoom session on Sexual Harassment as part of Gender Justice Course.,second zoom session sexual harassment part gender justice course.,DV
66,17-vfNUSbXo,Lockdown | increase in Cases of harassment of women in State,2020-04-16T10:31:52Z,IN,Lockdown | increase in Cases of harassment of women in State #NewsOfTheDay #EtvAndhraPradesh.,lockdown | increase case harassment woman state #newsoftheday #etvandhrapradesh.,NO_DV
67,gcgHCbSLyJI,Joe Biden denies former staffer&#39;s sexual assault allegation,2020-05-01T17:21:58Z,IN,Joe Biden denies former staffer's sexual assault allegation Former Vice President and presumptive Democratic nominee Joe Biden denied a former aide's claim ...,joe biden deny former staffer's sexual assault allegation former vice president presumptive democratic nominee joe biden deny former aide's claim ...,DV
68,GO6zkH6l5yE,Sexual Harassment at the Workplace in Pakistan | Legal Remedies | Episode 3,2020-01-28T13:19:56Z,IN,What action can you take if you have been a victim of Sexual Harassment in Pakistan? What remedies does the law provide you? And what steps can you take to ...,action take victim sexual harassment pakistan? remedy law provide you? steps take ...,DV
69,dVbL26tcWRo,Harvey Weinstein Accuser Takes The Stand At Sexual Assault Trial | NBC Nightly News,2020-02-03T17:33:30Z,IN,"Harvey Weinstein is on trial for rape based on Jessica Mann's allegations, who took the stand today and alleged three separate assaults. » Subscribe to NBC ...","harvey weinstein trial rape base jessica mann's allegations, take stand today allege three separate assaults. » subscribe nbc ...",
70,yRLV5k5A03Y,Arizona senator accused of sexual harassment has new opponent,2020-02-12T01:34:05Z,IN,"Republican Senator Michelle Ugenti-Rita, who has been accused of sexual harassment and intimidation, has a new challenger in the Republican primary.","republican senator michelle ugenti-rita, accused sexual harassment intimidation, new challenger republican primary.",DV
71,RuiDi1FTSQQ,Biden campaign denies alleged sexual assault: Report,2020-04-14T10:30:02Z,IN,Bernie Sanders endorses his former rival on a day when sexual harassment allegations against Joe Biden gain attention; Peter Doocy reports. #FoxNews FOX ...,bernie sander endorse former rival day sexual harassment allegation joe biden gain attention; peter doocy reports. #foxnews fox ...,DV
72,WqI6vx4xFyc,Harvey Weinstein sentenced: 23 years for rape and sexual assault,2020-03-11T17:03:30Z,IN,Subscribe to the Evening Standard on YouTube: https://www.youtube.com/channel/UC7RQon_YwCnp_LbPtEwW65w?sub_confirmation=1.,subscribe evening standard youtube:,
73,uy84FpqNFtU,Video surfaces of Biden accuser’s mom allegedly calling into Larry King&#39;s show,2020-04-25T02:35:00Z,IN,Newly-resurfaced video from decades ago lends support to allegations against Joe Biden; insight from journalist Rich McHugh. #FoxNews #Tucker FOX News ...,newly-resurfaced video decade ago lend support allegation joe biden; insight journalist rich mchugh. #foxnews #tucker fox news ...,
74,fJs7c3CHbH8,Stop sexual abuse in family  #AAH,2020-05-13T13:00:10Z,IN,Stop sexual abuse in family #AAH This very important topic of sexual abuse within family needs to be addressed right away. Seems like we have been ...,stop sexual abuse family #aah important topic sexual abuse within family need address right away. seem like ...,DV
75,g-f65OYrAow,"&#39;Not welcome&#39;, doctors and healthcare workers harassed by hostile neighbours",2020-04-20T08:52:07Z,IN,"In Spain, while the vast majority of the population support and admire the hardwork done by all medical care staff in hospitals, some have decided to harass ...","spain, vast majority population support admire hardwork do medical care staff hospitals, decide harass ...",NO_DV
76,e0FB43WhzyY,Breaking Down Tara Reade’s Sexual Assault Allegation Against Joe Biden | The View,2020-04-30T18:00:15Z,IN,ABC News' Mary Bruce joins with the latest on the allegation of sexual assault against Joe Biden - which his campaign has denied - and how it could play into ...,abc news' mary bruce join latest allegation sexual assault joe biden - campaign deny - could play ...,DV
77,79fHeJWJq7A,Former WWE star facing charges for sexual assault,2020-05-11T23:54:20Z,IN,Former WWE star Alberto Del Rio is facing charges for sexual assault.,former wwe star alberto del rio facing charge sexual assault.,DV
78,glpIslGIyu0,"Florida Police Break Up 3,000-Person Block Party amid COVID-19 | NowThis",2020-05-19T17:59:46Z,IN,"Police had to break up this 3000-person block party in Florida after it descended into chaos, leaving 1 person injured and 2 arrested. » Subscribe to NowThis: ...","police break 3000-person block party florida descend chaos, leaving 1 person injure 2 arrested. » subscribe nowthis: ...",NO_DV
79,1AmqZxAQi0A,Supreme Court Clashes Over Trump&#39;s Bid to Keep Tax Returns Private,2020-05-13T01:23:06Z,IN,"The Supreme Court is taking up President Donald Trump's bid to keep his tax, bank and financial records private, a major clash over presidential accountability ...","supreme court taking president donald trump's bid keep tax, bank financial record private, major clash presidential accountability ...",
80,LMva_3JOPWM,&#39;Move out!&#39; Spanish Healthcare workers receive threats from neighbours,2020-04-20T13:13:26Z,IN,Healthcare workers in Spain as in other European countries have been receiving threatening notes form their neighbours. They accuse caregivers of spreading ...,healthcare worker spain european country receive threaten note form neighbours. accuse caregiver spreading ...,DV
81,bst838oQFNY,L Brands issues response to report of culture of sexual harassment by top execs at Victoria&#39;s Secret,2020-02-02T04:08:47Z,IN,L Brands issues response to report of culture of sexual harassment by top execs at Victoria's Secret.,l brand issue response report culture sexual harassment top exec victoria's secret.,DV
82,liT7FQHcq2k,The Sexual Harassment  of Women at Work Place Act 2013,2020-05-20T06:32:19Z,IN,This is an Act to provide protection against sexual harassment of women at workplace and for the prevention and redressal of complaints of sexual harassment ...,act provide protection sexual harassment woman workplace prevention redressal complaint sexual harassment ...,DV
83,sMnkmu14Tko,Tell Me About It: Your Sexual Harassment Experience,2020-04-17T10:53:35Z,IN,"April is Sexual Assault Awareness Month, and we got a few of our colleagues who experienced sexual harassment before to share their stories. If you ever face ...","april sexual assault awareness month, get colleague experience sexual harassment share stories. ever face ...",DV
84,3mvAk5ZTz50,New Title IX Rules for Sexual Assault &amp; Harassment,2020-05-11T20:06:18Z,IN,"On May 6, the U.S. Department of Education released new Title IX regulations governing how schools handle students' accusations of sexual assault and ...","may 6, u.s. department education release new title ix regulation governing school handle students' accusation sexual assault ...",DV
85,4jSR2rogqh4,Coronavirus Scare: Woman abused &amp; heckled Cop in Kolkata,2020-03-25T12:45:23Z,IN,Shocker from Kolkata: COVID-19 heroes were harassed by a woman. The woman abused & heckled a cop after being stopped during the lockdown. TIMES ...,shocker kolkata: covid-19 hero harass woman. woman abuse & heckle cop stop lockdown. times ...,NO_DV
86,lTPltTSrvDc,Police Thrashed | by Family &amp; Villagers | Over Sexual Harassment of Girls | in Bengal,2020-01-19T13:31:40Z,IN,Police Thrashed | by Family & Villagers | Over Sexual Harassment of Girls | in Bengal #LatestNews #EtvTelangana.,police thrash | family & villager | sexual harassment girl | bengal #latestnews #etvtelangana.,DV
