,title,description,topic,source
16,'More support needed for DV victims during lockdown',"The Mayor “must do more” to protect domestic abuse victims,  after data revealed the crime figured in 10% of offences in the capital  – even before lockdown, according to a London Assembly report.There were 46,000 domestic abuse offences in the capital in 2011, but that figure surged to 89,000 last year – a 93% increase in less than a decade. The problem is particularly stark as the UK faces strict restrictions to control the spread of coronavirus. Other countries living under Covid-19 lockdown have reported increases in domestic abuse and the National Domestic Abuse helpline has had 25% more calls since the new rules came into force in Britain, according to charity Refuge.London Assembly police and crime committee chairman Unmesh Desai said the new report would “keep pressure on the Mayor” at a crucial time. He said: “With the measures taken by Government to fight Covid-19 and people being urged to stay at home, we need to ensure there are support services in place for victims of domestic abuse.”A spokesperson for Sadiq Khan said: “Other countries have seen a rise in domestic violence incidents when lockdown restriction have been put in place. “This is why the Mayor’s Office for Policing and Crime is urgently working with refuges and vital support services, alongside the Met Police, to support victims of domestic abuse to find safe spaces and to continue to access lifesaving support. “While we have not yet seen an increase in reports in London, we must ensure services have the support they need to support domestic abuse victims in the coming weeks and months.”",domestic abuse,BBC
17,Virus fears linked to US couple's murder-suicide,It emerged after the double shooting that the Illinois couple had tested negative for Covid-19.,domestic abuse,BBC
18,Domestic abuse calls up 25% since lockdown,"The charity which runs the National Domestic Abuse helpline says it's seen a 25% increase in calls and online requests for help since the lockdown began. BBCRefuge says there's also been a daily rise in people accessing the helpline's website, and last week that figure was up by 150%.The West Midlands Deputy Chief Constable, Louisa Rolfe, the National Police Chiefs' Council lead for domestic abuse, encouraged women and men facing abuse at home during lockdown to seek help. We would always seek to remove the perpetrator because often victims in their home where family, friends and neighbours can look out for the victim are much safer than if we remove them. However we do know in certain circumstances sometimes victims need to flee their home and we will be working with refuge providers to ensure that they have access to safe accommodation.""Deputy Chief Constable Louisa RolfeWest Midlands Police",domestic abuse,BBC
19,Coronavirus: Domestic abuse calls up,"The National Domestic Abuse helpline has seen a 25% increase in calls and online requests for help since the lockdown, the charity Refuge says.It received hundreds more calls last week compared with two weeks earlier, the charity, which runs the helpline said.Campaigners have warned the restrictions could heighten domestic tensions and cut off escape routes.The charity said pressure on other services and awareness campaigns could have also led to the increase.One woman, who fled her abuser a few days ago, told the BBC life had become intolerable since the lockdown started.""Tara"", who asked the BBC not to use her real name, said she had been suffering mental and physical abuse from her partner for six months.When the lockdown began things became markedly worse.To start with the abuse was subtle: ""Isolating me from my family and friends… thinking I'm cheating on him when I'm with him all the time… just controlling.""Her abuser deleted her social media accounts and stopped her from seeing family.She says he was ""mentally abusive, verbally and obviously hitting me… recently it's obviously been getting worse, since the lockdown.""""It's been bad… I didn't care if I didn't wake up like from the night before... I just knew what was going to happen the next day, I just wanted the days to go past.""As soon as he gets up, he tries to cause an argument out of nothing, and if I fire back he'll just hit me.""Tara has now fled to a refuge in Wales, and is being supported by Llamau, a charity for young people and vulnerable women.         For information and support on domestic abuse, contact:
      Police: 999 press 55 when prompted if you can't speak
    
      Refuge UK wide 24-hour helpline: 0808 2000 247
    
      Welsh Women's Aid Live Fear Free 24-hour helpline: 0808 80 10 800
    
      Scotland National Domestic Abuse and Forced Marriages 24-hour helpline: 0800 027 1234
    
      Northern Ireland Domestic Abuse 24-hour helpline: 0808 802 1414
    Online webchats and text services are also available.BBCThere has been an increase in calls to domestic abuse charities following the coronavirus lockdown in the UK",domestic abuse,BBC
20,New domestic abuse helpline set up for Hampshire,Aurora New Dawn started the service after national charities were inundated with calls.,emotional abuse,BBC
21,Coronavirus 'traps' domestic abuse victims at home,Restrictions on movement during the coronavirus outbreak are causing problems for people experiencing domestic abuse.,emotional abuse,BBC
22,Abuse charity fears victims may feel unable to flee,"Staff at the domestic abuse charity Project West Cumbria have echoed national fears that people having to stay at home could mean some feel trapped with abusive partners.Vicky Pike from the charity says she believes many will now not come forward until after the lockdown is over.She says taking shelter with friends or relatives may not be possible because of quarantine, but public services are still running.If you go to your local authority they have responsibility to tell you abut your housing routes or they can point you in the right direction.""Vicky Pike",emotional abuse,BBC
23,Help for domestic abuse sufferers,"Cleveland Police is reminding domestic abuse victims frightened of being overheard that they can call 999 and then cough or dial 55. It follows concerns that from a domestic abuse charity in Hartlepool that some may be living in a ""pressure cooker"" during the lockdown thinking services are closed. The Harbour service is stressing that support is available. My Sister's Place in Middlesbrough also says there's been a ""worrying"" drop in calls for help, with only half the normal number of requests last week.View more on twitter",emotional abuse,BBC
24,Police force dealing with domestic abuse cases,"Bedfordshire PoliceBedfordshire Police is warning about domestic abuse as people are urged to stay at home during the coronavirus crisis. The force said it received 49 reports of domestic abuse over the weekend, including threats to kill, ABH and common assault. Det Insp Lorraine Coombes said: ""Staying home, or working from home, will bring many challenges. ""We all need to be aware how this will impact existing victims and perpetrators of domestic abuse, and those who may now find themselves in such a situation, due to the exceptional circumstances.“You are our eyes and ears, please don’t keep your concerns to yourself.“Chances are if something doesn’t feel right it isn’t, and we will continue to investigate and support throughout this pandemic situation.”",emotional abuse,BBC
25,'I'm in coronavirus lockdown with my abuser',The BBC has spoken to two women who are currently under lockdown with men who have abused them.,emotional abuse,BBC
26,Saunders has boxing licence suspended,Billy Joe Saunders has his boxing licence suspended after he released a video advising men how to hit their female partners.,emotional abuse,BBC
27,Sisters aim to raise awareness of 'honour hate',"They say they faced a backlash for wearing skirts due to ""deeply ingrained cultural pressures"".",emotional abuse,BBC
28,"Pause For Thought: 'I want to sing like the birds sing, not worrying about who hears.'",,emotional abuse,BBC
29,Domestic abuse 'affects everybody' - Camilla,"The Duchess of Cornwall says the ""taboo"" of domestic abuse ""weakens"" each time a victim speaks out.",emotional abuse,BBC
30,Revealed: surge in domestic violence during Covid-19 crisis,1 day ago · Home Secretary Priti Patel insists there is support available for at-risk women as charities report massive increase in calls.,domestic violence,BBC
31,Rihanna gives £1.67m to support LA domestic violence victims in lockdown,"2 days ago · The singer joined with Twitter CEO Jack Dorsey to provide shelter, meals and counselling for families at risk in coronavirus pandemic.",child abuse,BBC
32,"I know the trauma of abuse in the home, so I fear for women in lockdown","1 day ago · In the first fortnight of lockdown, 10 women were killed by men they lived with. A survivor tells of how easy it is to be trapped by coercive control.",violence,BBC
33,Revealed: surge in domestic violence during Covid-19 crisis,1 day ago · Home Secretary Priti Patel insists there is support available for at-risk women as charities report massive increase in calls.,domestic violence,The Guardian
34,Rihanna gives £1.67m to support LA domestic violence victims in lockdown,"2 days ago · The singer joined with Twitter CEO Jack Dorsey to provide shelter, meals and counselling for families at risk in coronavirus pandemic.",domestic violence,The Guardian
35,"I know the trauma of abuse in the home, so I fear for women in lockdown","1 day ago · In the first fortnight of lockdown, 10 women were killed by men they lived with. A survivor tells of how easy it is to be trapped by coercive control.",domestic violence,The Guardian
36,Domestic abuse cases soar as lockdown takes its toll,1 week ago · More than 25 organisations helping domestic violence victims have reported an increase in their caseload since the start of the UK's...,domestic violence,The Guardian
37,In quarantine with an abuser: surge in domestic violence reports linked to coronavirus,"1 week ago · Cases typically spike in times of economic crisis – and with most of the US told to stay home, hotlines are worried victims can't leave.",domestic violence,The Guardian
38,Lockdowns around the world bring rise in domestic violence,"2 weeks ago · Activists say pattern of increasing abuse is repeated in countries from Brazil to Germany, China to Greece.",domestic violence,The Guardian
39,"For people with an abusive partner, lockdown means captivity","2 weeks ago · Social isolation from coronavirus is fuelling a rise in domestic abuse cases - and leading charities to shift their support online, says the writer...",domestic violence,The Guardian
40,"For some people, social distancing means being trapped indoors with an abuser","3 weeks ago · As more cities go under lockdown, activists are worried that attempts to curb coronavirus will inadvertently lead to an increase in domestic...",domestic violence,The Guardian
41,'Covid-19 will slam the door shut': Australia's family services brace for domestic violence spike,2 weeks ago · Vulnerable women and children in self-isolation are facing the prospect of being forced to stay inside with an abusive partner.,domestic violence,The Guardian
42,Patriarchy and power: how socialisation underpins abusive behaviour,1 month ago · Men don't abuse women because society tells them it's OK. They do it because society tells them they are entitled to be in control.,domestic violence,The Guardian
43,Revealed: surge in domestic violence during Covid-19 crisis,"1 day ago · The UK's largest domestic abuse charity, Refuge, has reported a 700% ... accommodation to help women and children escape domestic abuse. ... Over the last three years, much of what the Guardian holds dear has been...",child abuse,The Guardian
44,NCA predicts rise in online child sexual abuse during coronavirus pandemic,"1 week ago · Guardian Today: the headlines, the analysis, the debate - sent direct to you. Read more. The NCA revealed offenders are already discussing...",child abuse,The Guardian
45,George Pell's accuser issues rallying cry to sexual abuse survivors in wake of verdict,"4 days ago · “I would like to reassure child sexual abuse survivors that most people ... Over the last three years, much of what the Guardian holds dear has...",child abuse,The Guardian
46,"Coronavirus lockdown raises risk of online child abuse, charity says",1 week ago · A shortage of moderators who combat sexual abuse online combined with children spending more time on the internet at home has created a...,child abuse,The Guardian
47,"Child sexual abuse victims should not be put off by George Pell decision, experts say",4 days ago · Australia news | The Guardian...,child abuse,The Guardian
48,"Child sex abuser given ‘preferential treatment’, says damning report","1 month ago · The Independent Inquiry into Child Sex Abuse recently found that ... Over the last three years, much of what the Guardian holds dear has been...",child abuse,The Guardian
49,In quarantine with an abuser: surge in domestic violence reports linked to coronavirus,"1 week ago · Her abuser threw her out of the front door and kept their child. ... by their abusive partners to further control and abuse, how Covid-19 is already...",child abuse,The Guardian
50,You'll need a strong stomach to digest Revelation's insights into child sexual abuse in the Catholic church,"4 weeks ago · ... Revelation's insights into child sexual abuse in the Catholic church ... Over the last three years, much of what the Guardian holds dear has...",child abuse,The Guardian
51,Letters: the unseen victims of coronavirus,"1 day ago · The second reading of the domestic abuse bill cannot come quickly ... have left thousands of men, women and children at the mercy of abusive...",child abuse,The Guardian
52,Outrage in South Korea over Telegram sexual abuse ring blackmailing women and girls,"3 weeks ago · Cho Ju-bin faces charges of violating the child protection act, the privacy act and the sexual abuse act, as well as abuse, threats, and coercion,...",child abuse,The Guardian
53,Revealed: surge in domestic violence during Covid-19 crisis,1 day ago · Home Secretary Priti Patel insists there is support available for at-risk women as charities report massive increase in calls.,violence,The Guardian
54,Crime falls sharply in even the most violent US cities,"1 day ago · The coronavirus pandemic that has crippled major retailers and small shops worldwide may be making a dent in illicit business, too. In Chicago...",violence,The Guardian
55,'There are two pandemics': Chicago's gun violence persists amid lockdown,"1 day ago · Shootings and murders have remained fairly consistent during shelter-in-place, with the city registering more shootings in March than the...",violence,The Guardian
56,Rihanna gives £1.67m to support LA domestic violence victims in lockdown,"2 days ago · The singer joined with Twitter CEO Jack Dorsey to provide shelter, meals and counselling for families at risk in coronavirus pandemic.",violence,The Guardian
57,Priti Patel announces help for domestic abuse victims during lockdown – video,1 day ago · The home secretary has launched a campaign to help domestic abuse victims after reports of a sharp rise in numbers seeking help.,violence,The Guardian
58,"I know the trauma of abuse in the home, so I fear for women in lockdown","1 day ago · In the first fortnight of lockdown, 10 women were killed by men they lived with. A survivor tells of how easy it is to be trapped by coercive control.",violence,The Guardian
59,In quarantine with an abuser: surge in domestic violence reports linked to coronavirus,"1 week ago · Cases typically spike in times of economic crisis – and with most of the US told to stay home, hotlines are worried victims can't leave.",violence,The Guardian
60,Domestic abuse cases soar as lockdown takes its toll,1 week ago · More than 25 organisations helping domestic violence victims have reported an increase in their caseload since the start of the UK's...,violence,The Guardian
61,UK pharmacists facing abuse and violence during lockdown,1 week ago · Police patrols have been deployed to some outlets and at least one customer has threatened to kill staff.,violence,The Guardian
62,Lockdowns around the world bring rise in domestic violence,"2 weeks ago · Activists say pattern of increasing abuse is repeated in countries from Brazil to Germany, China to Greece.",violence,The Guardian
