,Country Code,Year of Survey,Country name,Region,Region Code,Survey Type,Subsample,Total population,Children (aged 0-14),Youth (aged 15-24),Adult (aged 25-64),Elderly (aged 65+),Urban Population (% of total Population), Working Age Population (aged 15-64 (% of total Pop.)),Dependency Rate (all compared to 15-64),Youth Dependency Rate (younger than 15 compared to 15-64),Old Age Dependency Rate (older than 64 compared to 15-64),Labor Force (aged 15-64),Labor Force Participation Rate (aged 15-64),Female Labor Force Participation Rate (aged 15-64),Not in labor force or education rate among youth (aged 15-24),Employment to Population Ratio (aged 15-64),Share of workers (aged 15-64) with more than one jobs in last week,Employment to Labor Force Ratio (aged 15-64 ),Unemployment Rate (aged 15-64),Youth Employment to Labor Force Ratio (aged 15-24),Youth Unemployment Rate (aged 15-24),Wage employees (aged 15-64) ,Unpaid or Self-employed (age 15-64),Employers (aged 15-64),Informal jobs (aged 15-64),Formal jobs (aged 15-64),Share of work contract,Share of health insurance,Share of social security,Public sector employment (aged 15-64), Agriculture (aged 15-64), Industry (aged 15-64), Services (aged 15-64), Female in non-agricultural employment (aged 15-64),Youth in non-agricultural employment (aged 15-64), Mining (aged 15-64), Manufacturing (aged 15-64), Public utilities (aged 15-64), Construction (aged 15-64), Commerce (aged 15-64),Transport & Communication (aged 15-64),Financial and Business Services (aged 15-64),Public Administration (aged 15-64), Other services (aged 15-64), Senior Officials (aged 15-64), Professionals (aged 15-64), Technicians (aged 15-64), Clerks (aged 15-64), Service and Market Sales (aged 15-64), Skilled Agriculture (aged 15-64), Craft Workers (aged 15-64), Machine Operators (aged 15-64), Elementary Occupations (aged 15-64), Armed Forces,Average weekly working hours,Underemployment ( <35 hours per week),Excessive working hours (>48 hours per week),Median Earnings for wage workers per hour (local nominal currency),Median Earnings for wage workers per hour (deflated to 2010  local currency val),Real Median Hourly  Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month ( local nominal currency),Median Earnings for wage workers per month (deflated to 2010 local currency valu),Real Median Monthly Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month in agriculture (local nominal currenc),Median Earnings for wage workers per month in industry (local nominal currency),Median Earnings for wage workers per month in service (local nominal currency),Female to Male gender wage gap,Public to Private wage gap, No Education, Primary Education, Secondary Education, Post Secondary Education
10,AGO,2008,Angola,Sub-Saharan Africa,SSF,ibep-,Higher education,5909577,0.74,0.12,0.14,0.0,0.52,0.26,0.51,0.48,0.02,1084238.07,0.71,0.67,0.05,0.67,0.07,0.94,0.06,0.88,0.12,0.63,0.34,0.03,,,,,,0.32,0.24,0.06,0.69,0.63,0.53,0.0,0.03,0.01,0.03,0.19,0.06,0.01,0.11,0.33,0.06,0.14,0.18,0.07,0.12,0.08,0.08,0.05,0.19,0.03,,,,,,,,,,,,,,,0.0,0.0,0.76,0.24
11,AGO,2008,Angola,Sub-Saharan Africa,SSF,ibep-,Lower education,10458304,0.34,0.23,0.39,0.04,0.53,0.63,0.51,0.48,0.02,5280535.45,0.81,0.85,0.09,0.79,0.07,0.97,0.03,0.94,0.06,0.23,0.75,0.02,,,,,,0.07,0.6,0.05,0.35,0.32,0.34,0.0,0.02,0.0,0.03,0.18,0.04,0.0,0.03,0.09,0.01,0.01,0.02,0.01,0.1,0.45,0.07,0.04,0.26,0.02,,,,,,,,,,,,,,,0.25,0.72,0.03,0.0
12,AGO,2008,Angola,Sub-Saharan Africa,SSF,ibep-,Male,7883095,0.5,0.19,0.29,0.03,0.53,0.48,0.51,0.48,0.02,2848055.46,0.77,,0.08,0.73,0.11,0.95,0.05,0.9,0.1,0.47,0.5,0.03,,,,,,0.17,0.41,0.11,0.48,,0.51,0.0,0.04,0.01,0.06,0.13,0.08,0.01,0.09,0.17,0.03,0.04,0.06,0.02,0.09,0.33,0.14,0.07,0.18,0.03,,,,,,,,,,,,,,,0.11,0.74,0.12,0.02
13,AGO,2008,Angola,Sub-Saharan Africa,SSF,ibep-,Old worker,4908262,0.0,0.0,1.0,0.0,0.54,1.0,0.51,0.48,0.02,4632342.89,0.95,0.95,,0.93,0.09,0.98,0.02,,,0.31,0.67,0.02,,,,,,0.14,0.51,0.05,0.44,0.39,,0.0,0.02,0.0,0.03,0.19,0.04,0.0,0.06,0.15,0.02,0.04,0.05,0.02,0.11,0.38,0.07,0.04,0.25,0.02,,,,,,,,,,,,,,,0.28,0.6,0.1,0.01
14,AGO,2008,Angola,Sub-Saharan Africa,SSF,ibep-,Rural,7767732,0.49,0.19,0.29,0.02,0.0,0.48,0.51,0.48,0.02,2954886.35,0.79,0.82,0.07,0.77,0.08,0.97,0.03,0.93,0.07,0.3,0.69,0.01,,,,,,0.12,0.55,0.05,0.4,0.34,0.37,0.0,0.02,0.0,0.03,0.18,0.03,0.0,0.05,0.14,0.02,0.03,0.05,0.02,0.09,0.37,0.08,0.03,0.28,0.02,,,,,,,,,,,,,,,0.23,0.67,0.09,0.02
15,AGO,2008,Angola,Sub-Saharan Africa,SSF,ibep-,Total,16367881,0.48,0.19,0.3,0.02,0.53,0.49,1.02,0.97,0.05,6364773.53,0.79,0.82,0.08,0.76,0.07,0.97,0.03,0.93,0.07,0.3,0.68,0.02,,,,,,0.12,0.54,0.05,0.41,0.36,0.38,0.0,0.02,0.0,0.03,0.18,0.04,0.0,0.05,0.13,0.02,0.03,0.05,0.02,0.11,0.39,0.07,0.04,0.25,0.02,,,,,,,,,,,,,,,0.23,0.66,0.09,0.02
16,AGO,2008,Angola,Sub-Saharan Africa,SSF,ibep-,Urban,8599603,0.47,0.19,0.31,0.03,1.0,0.5,0.51,0.48,0.02,3409340.85,0.8,0.82,0.08,0.77,0.06,0.97,0.03,0.93,0.07,0.3,0.68,0.02,,,,,,0.11,0.53,0.05,0.42,0.38,0.39,0.0,0.02,0.0,0.03,0.19,0.05,0.0,0.04,0.13,0.02,0.04,0.04,0.02,0.12,0.41,0.07,0.04,0.23,0.02,,,,,,,,,,,,,,,0.23,0.65,0.1,0.02
17,AGO,2008,Angola,Sub-Saharan Africa,SSF,ibep-,Young worker,3181724,0.0,1.0,0.0,0.0,0.53,1.0,0.51,0.48,0.02,1732430.64,0.55,0.61,0.08,0.51,0.04,0.93,0.07,0.93,0.07,0.26,0.73,0.02,,,,,,0.06,0.62,0.06,0.32,0.29,0.38,0.0,0.02,0.0,0.04,0.17,0.04,0.0,0.01,0.09,0.0,0.02,0.03,0.02,0.11,0.42,0.09,0.04,0.27,0.01,,,,,,,,,,,,,,,0.14,0.75,0.08,0.04
18,ALB,2012,Albania,Europe and Central Asia,ECS,lsms,Female,1404677,0.2,0.17,0.51,0.12,0.55,0.68,0.3,0.19,0.11,311799.62,0.32,0.32,0.33,0.25,0.01,0.76,0.24,0.45,0.55,0.61,0.37,0.02,0.1,0.51,,,0.83,0.46,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.16,0.17,1500.0,1421.1,26.42,300000.0,284220.0,5284.04,,,,,1.17,0.0,0.06,0.61,0.33
19,ALB,2012,Albania,Europe and Central Asia,ECS,lsms,Higher education,1427405,0.15,0.25,0.53,0.07,0.64,0.78,0.3,0.19,0.11,587099.61,0.53,0.38,0.22,0.39,0.02,0.74,0.26,0.41,0.59,0.71,0.27,0.02,0.15,0.56,,,0.79,0.44,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.12,0.24,1719.58,1629.13,30.29,340000.0,322116.0,5988.58,,,,1.0,1.17,0.0,0.0,0.26,0.74
20,ALB,2012,Albania,Europe and Central Asia,ECS,lsms,Old worker,1407983,0.0,0.0,1.0,0.0,0.56,1.0,0.3,0.19,0.11,829921.75,0.59,0.39,,0.46,0.02,0.77,0.23,,,0.58,0.4,0.02,0.16,0.42,,,0.72,0.38,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.14,0.26,1666.67,1579.0,29.36,300000.0,284220.0,5284.04,,,,1.0,1.17,0.0,0.07,0.5,0.43
21,ALB,2012,Albania,Europe and Central Asia,ECS,lsms,Total,2802801,0.2,0.18,0.5,0.12,0.54,0.68,0.47,0.3,0.17,960073.63,0.5,0.32,0.26,0.37,0.02,0.73,0.27,0.43,0.57,0.58,0.41,0.02,0.3,0.7,,,0.7,0.36,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.15,0.26,1666.67,1579.0,29.36,300000.0,284220.0,5284.04,,,,1.0,1.17,0.0,0.06,0.59,0.36
22,ALB,2012,Albania,Europe and Central Asia,ECS,lsms,Young worker,501560,0.0,1.0,0.0,0.0,0.51,1.0,0.3,0.19,0.11,130151.89,0.26,0.14,0.26,0.11,0.02,0.43,0.57,0.43,0.57,0.55,0.44,0.01,0.3,0.25,,,0.46,0.08,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.24,0.22,1133.79,1074.15,19.97,230000.0,227375.98,4051.1,,,,1.0,1.17,0.0,0.02,0.84,0.14
23,ARM,2016,Armenia,Europe and Central Asia,ECS,ilcs,Female,1566217,0.17,0.12,0.55,0.15,0.65,0.67,0.33,0.19,0.13,650111.68,0.64,0.64,0.2,0.52,0.08,0.81,0.19,0.59,0.41,0.58,0.42,0.0,,,0.9,,,0.04,0.38,0.09,0.53,0.62,0.69,0.0,0.07,0.01,0.0,0.13,0.03,0.04,0.05,0.29,,,,,,,,,,,39.0,0.39,0.12,415.38,337.23,2.36,81000.0,65759.13,459.95,62307.7,83076.92,77884.61,,0.65,0.0,0.0,0.44,0.55
24,ARM,2016,Armenia,Europe and Central Asia,ECS,ilcs,Higher education,2770740,0.14,0.14,0.59,0.13,0.62,0.73,0.33,0.19,0.13,1296869.4,0.71,0.64,0.16,0.6,0.1,0.84,0.16,0.65,0.35,0.6,0.4,0.0,,,0.85,,,0.03,0.33,0.19,0.48,0.62,0.65,0.01,0.09,0.03,0.06,0.13,0.06,0.03,0.08,0.18,,,,,,,,,,,39.0,0.3,0.2,519.23,421.53,2.95,103846.16,84306.58,589.68,72692.3,124615.39,98653.84,0.62,0.65,0.0,0.0,0.41,0.59
25,ARM,2016,Armenia,Europe and Central Asia,ECS,ilcs,Lower education,212434,0.88,0.0,0.03,0.09,0.64,0.03,0.33,0.19,0.13,2192.82,0.34,0.37,0.78,0.34,,,,,,0.13,0.87,0.0,,,1.0,,,0.0,0.72,0.0,0.28,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.14,,,,,,,,,,,39.0,0.73,0.21,1859.34,1509.49,10.56,503653.84,408886.88,2859.93,,,503653.84,,,0.48,0.26,0.26,0.0
26,ARM,2016,Armenia,Europe and Central Asia,ECS,ilcs,Male,1416957,0.21,0.14,0.54,0.11,0.6,0.69,0.33,0.19,0.13,648950.54,0.8,,0.11,0.7,0.12,0.87,0.13,0.71,0.29,0.61,0.38,0.0,,,0.81,,,0.01,0.28,0.27,0.44,,0.62,0.03,0.1,0.04,0.11,0.13,0.09,0.03,0.11,0.08,,,,,,,,,,,39.0,0.21,0.28,618.13,501.82,3.51,124615.39,101167.89,707.61,72692.3,135000.0,124615.39,,0.65,0.0,0.0,0.37,0.63
27,ARM,2016,Armenia,Europe and Central Asia,ECS,ilcs,Old worker,1639257,0.0,0.0,1.0,0.0,0.63,1.0,0.33,0.19,0.13,1151669.49,0.77,0.69,,0.66,0.1,0.86,0.14,,,0.59,0.4,0.0,,,0.86,,,0.03,0.33,0.19,0.48,0.61,,0.02,0.09,0.03,0.06,0.13,0.06,0.03,0.08,0.19,,,,,,,,,,,39.0,0.29,0.21,519.23,421.53,2.95,103846.16,84306.58,589.68,72692.3,124615.39,101769.23,0.62,0.65,0.0,0.0,0.39,0.61
28,ARM,2016,Armenia,Europe and Central Asia,ECS,ilcs,Rural,1117402,0.19,0.14,0.54,0.13,0.0,0.69,0.33,0.19,0.13,526670.34,0.79,0.74,0.19,0.73,0.16,0.93,0.07,0.76,0.24,0.32,0.68,0.0,,,0.76,,,0.02,0.66,0.1,0.24,0.26,0.35,0.0,0.03,0.01,0.05,0.05,0.03,0.01,0.06,0.1,,,,,,,,,,,39.0,0.51,0.13,501.92,407.48,2.85,98653.84,80091.25,560.19,62307.7,117346.16,91384.61,0.62,0.65,0.0,0.0,0.33,0.67
29,ARM,2016,Armenia,Europe and Central Asia,ECS,ilcs,Total,2983174,0.19,0.13,0.55,0.13,0.63,0.68,0.47,0.28,0.19,1299062.22,0.64,0.64,0.16,0.54,0.1,0.84,0.16,0.65,0.35,0.6,0.4,0.0,,,0.85,,,0.03,0.33,0.19,0.48,0.62,0.65,0.01,0.09,0.03,0.06,0.13,0.06,0.03,0.08,0.18,,,,,,,,,,,39.0,0.3,0.2,519.23,421.53,2.95,103846.16,84306.58,589.68,72692.3,124615.39,98653.84,0.62,0.65,0.0,0.0,0.41,0.59
30,ARM,2016,Armenia,Europe and Central Asia,ECS,ilcs,Urban,1865772,0.19,0.12,0.55,0.13,1.0,0.67,0.33,0.19,0.13,772391.89,0.66,0.58,0.14,0.52,0.04,0.78,0.22,0.57,0.43,0.82,0.17,0.0,,,0.88,,,0.03,0.07,0.26,0.68,0.91,0.96,0.02,0.13,0.04,0.07,0.2,0.08,0.05,0.1,0.24,,,,,,,,,,,39.0,0.12,0.27,519.23,421.53,2.95,103846.16,84306.58,589.68,83076.92,124615.39,103846.16,0.62,0.65,0.0,0.0,0.47,0.53
31,ARM,2016,Armenia,Europe and Central Asia,ECS,ilcs,Young worker,385228,0.0,1.0,0.0,0.0,0.58,1.0,0.33,0.19,0.13,147392.73,0.45,0.37,0.16,0.3,0.06,0.65,0.35,0.65,0.35,0.62,0.38,0.0,,,0.81,,,0.01,0.35,0.14,0.51,0.69,0.65,0.01,0.08,0.01,0.04,0.17,0.07,0.05,0.09,0.13,,,,,,,,,,,39.0,0.35,0.17,461.54,374.7,2.62,93461.54,75875.91,530.71,62307.7,103846.16,88269.23,0.62,0.65,0.0,0.0,0.53,0.47
32,AZE,2015,Azerbaijan,Europe and Central Asia,ECS,amssw,Female,4294931,0.18,0.15,0.59,0.08,0.59,0.74,0.29,0.21,0.08,1715758.94,0.54,0.54,0.57,0.53,,0.98,0.02,0.97,0.03,0.49,0.51,0.0,,,,,,0.28,0.45,0.07,0.48,0.55,0.43,0.0,0.05,0.01,0.01,0.06,0.01,0.03,0.28,0.1,,,,,,,,,,,52.0,0.15,0.52,0.83,0.71,,170.0,161.29,,150.0,250.0,150.0,,0.63,0.01,0.2,0.78,0.0
33,AZE,2015,Azerbaijan,Europe and Central Asia,ECS,amssw,Higher education,6162119,0.11,0.13,0.67,0.09,0.6,0.8,0.29,0.21,0.08,3304338.74,0.67,0.57,0.41,0.65,,0.97,0.03,0.94,0.06,0.54,0.45,0.01,,,,,,0.24,0.31,0.23,0.46,0.58,0.63,0.0,0.09,0.03,0.11,0.07,0.05,0.04,0.21,0.09,,,,,,,,,,,52.0,0.12,0.55,1.06,0.9,,220.0,212.22,,200.0,300.0,200.0,0.6,0.63,0.0,0.0,1.0,0.0
34,AZE,2015,Azerbaijan,Europe and Central Asia,ECS,amssw,Lower education,2170865,0.47,0.24,0.22,0.07,0.55,0.46,0.29,0.21,0.08,490242.23,0.49,0.41,0.59,0.47,,0.95,0.05,0.96,0.04,0.35,0.65,0.0,,,,,,0.15,0.49,0.21,0.3,0.35,0.46,0.0,0.07,0.01,0.14,0.06,0.03,0.02,0.08,0.11,,,,,,,,,,,52.0,0.1,0.6,0.83,0.71,,200.0,169.78,,200.0,200.0,180.0,0.6,0.63,0.05,0.95,0.0,0.0
35,AZE,2015,Azerbaijan,Europe and Central Asia,ECS,amssw,Male,4038052,0.24,0.17,0.51,0.08,0.59,0.68,0.29,0.21,0.08,2078822.03,0.76,,0.4,0.72,,0.96,0.04,0.93,0.07,0.54,0.45,0.01,,,,,,0.19,0.24,0.36,0.4,,0.68,0.0,0.12,0.03,0.2,0.07,0.09,0.05,0.11,0.08,,,,,,,,,,,52.0,0.1,0.59,1.21,1.03,,300.0,254.67,,250.0,300.0,250.0,,0.63,0.01,0.2,0.79,0.0
36,AZE,2015,Azerbaijan,Europe and Central Asia,ECS,amssw,Old worker,4584439,0.0,0.0,1.0,0.0,0.6,1.0,0.29,0.21,0.08,3097750.17,0.68,0.57,,0.66,,0.97,0.03,,,0.53,0.46,0.01,,,,,,0.23,0.32,0.23,0.46,0.58,,0.0,0.09,0.03,0.11,0.07,0.05,0.04,0.2,0.09,,,,,,,,,,,52.0,0.13,0.54,1.06,0.9,,220.0,212.22,,200.0,300.0,200.0,0.6,0.63,0.01,0.13,0.86,0.0
37,AZE,2015,Azerbaijan,Europe and Central Asia,ECS,amssw,Rural,3442113,0.21,0.17,0.53,0.09,0.0,0.7,0.29,0.21,0.08,1632225.57,0.68,0.59,0.43,0.66,,0.98,0.02,0.96,0.04,0.35,0.65,0.0,,,,,,0.22,0.51,0.18,0.31,0.35,0.46,0.0,0.06,0.01,0.11,0.04,0.04,0.03,0.12,0.08,,,,,,,,,,,52.0,0.17,0.52,0.83,0.71,,200.0,169.78,,200.0,230.0,150.0,0.6,0.63,0.02,0.2,0.78,0.0
38,AZE,2015,Azerbaijan,Europe and Central Asia,ECS,amssw,Total,8332984,0.21,0.16,0.55,0.08,0.59,0.71,0.41,0.29,0.12,3794580.97,0.64,0.54,0.48,0.62,,0.97,0.03,0.95,0.05,0.52,0.48,0.01,,,,,,0.23,0.34,0.23,0.44,0.55,0.58,0.0,0.09,0.02,0.11,0.07,0.05,0.04,0.19,0.09,,,,,,,,,,,52.0,0.12,0.56,1.03,0.87,,210.0,212.22,,200.0,300.0,200.0,0.6,0.63,0.01,0.2,0.79,0.0
39,AZE,2015,Azerbaijan,Europe and Central Asia,ECS,amssw,Urban,4890870,0.2,0.16,0.56,0.08,1.0,0.72,0.29,0.21,0.08,2162355.4,0.62,0.5,0.52,0.59,,0.96,0.04,0.94,0.06,0.64,0.35,0.01,,,,,,0.23,0.2,0.26,0.54,0.72,0.68,0.0,0.11,0.03,0.11,0.09,0.06,0.05,0.24,0.1,,,,,,,,,,,52.0,0.08,0.58,1.11,0.94,,250.0,212.22,,208.0,300.0,200.0,0.6,0.63,0.01,0.21,0.79,0.0
40,AZE,2015,Azerbaijan,Europe and Central Asia,ECS,amssw,Young worker,1343187,0.0,1.0,0.0,0.0,0.56,1.0,0.29,0.21,0.08,696830.8,0.52,0.43,0.48,0.49,,0.95,0.05,0.95,0.05,0.43,0.57,0.0,,,,,,0.23,0.42,0.23,0.34,0.43,0.58,0.0,0.08,0.01,0.14,0.07,0.03,0.03,0.12,0.09,,,,,,,,,,,52.0,0.1,0.61,0.89,0.75,,200.0,191.0,,200.0,250.0,160.0,0.6,0.63,0.01,0.41,0.58,0.0
41,BDI,2013,Burundi,Sub-Saharan Africa,SSF,ecvm,Female,4851167,0.47,0.19,0.32,0.03,0.09,0.5,0.5,0.47,0.03,1931787.3,0.83,0.83,0.04,0.81,0.03,0.98,0.02,0.97,0.03,0.05,0.94,0.0,,,,,,,0.94,0.01,0.05,0.06,0.06,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.32,0.16,0.0
42,BDI,2013,Burundi,Sub-Saharan Africa,SSF,ecvm,Higher education,1649676,0.61,0.24,0.15,0.0,0.2,0.39,0.5,0.47,0.03,229315.51,0.39,0.36,0.03,0.31,0.11,0.81,0.19,0.65,0.35,0.61,0.37,0.03,,,,,,,0.3,0.06,0.63,0.67,0.38,0.0,0.03,0.01,0.02,0.09,0.04,0.05,0.06,0.39,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.95,0.05
43,BDI,2013,Burundi,Sub-Saharan Africa,SSF,ecvm,Lower education,7601640,0.46,0.16,0.35,0.03,0.08,0.51,0.5,0.47,0.03,3269897.67,0.88,0.88,0.04,0.87,0.07,0.99,0.01,0.97,0.03,0.1,0.9,0.01,,,,,,,0.9,0.03,0.07,0.04,0.11,0.0,0.02,0.0,0.01,0.03,0.01,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.4,0.07,0.0
