id,title,channel_id,channel_name,published_date,description
U7F4pkhUJ1Q,COVID-19 Effects on Mental Health of Healthcare Workers – Stanford DOM Grand Rounds – 22 July 2020,UCXb0w5GOQy0rLW1w8qGh_NQ,Stanford Department of Medicine,2020-07-23T15:13:16Z,"In this Stanford Department of Medicine Grand Rounds presentation, expert Debra Kaysen discusses the effects of COVID-19 on the mental health of healthcare ..."
K5Xh3xRBSmQ,Reacting To Circuit Breaker TikToks Of Singapore,UCrorZ2cMVbTIx_dV6-9ojfw,YEOLO,2020-05-04T10:59:11Z,SUBSCRIBE: http://bit.ly/YeoloSayNoNo Some quaranteens are losing it. ☎️ Mental Health Resources National CARE Hotline (24h) – 1800 202 6868 Care ...
Ja6IJzVMqII,Covid 19 and Mental Health,UCY7VcbLL629iKk4yprp7pow,NAMI NH,2021-05-03T11:30:00Z,
7PImtoqdF58,Invisible Wave: COVID-19 and Mental Health,UCx3Rvd1EbAhlaH1OWO7Lwqg,Dalla Lana School of Public Health,2020-07-28T17:40:34Z,"Join the Infectious Disease Working Group on July 28th for our panel discussion, “The Invisible Wave: COVID-19 and Mental Health”, which will examine the rise ..."
y9SRC-zq85k,PanSurg 3: Segregation in surgery based on the experiences in Singapore,UCsRuddT3ynWEe6tCGTb0_xw,PanSurg Collaborative,2020-04-29T11:43:05Z,"2020 03 30 Chair: Guy Martin, Clinical Lecturer Imperial College London, Registrar in Vascular Surgery, St Mary's Hospital, London Speakers: Doctor Raj ..."
kbOrRjEDnDU,How To Improve Singapore&#39;s Mental Health (ft. Psychology Professor Andy Ho) | IMO Ep.6,UCs-8YnlQyBkoz8pyODckkSQ,Overthink,2020-03-24T12:00:26Z,HEAR THIS ON OTHER PLATFORMS Spotify: https://open.spotify.com/show/4upzIu2A4eu0043khOCgKI Apple Podcasts: ...
EbYrkvnNeLw,Facing Covid-19: I Tested Positive,UCsiZ4QJyWTdbtB2cfyDPApA,Our Grandfather Story,2020-04-07T10:30:02Z,"When you test positive for Covid-19, it's not just your physical health that suffers, but your mental health too. From going through nose swab tests to feeling ..."
QV-xdKf3ur8,COVID-19 testing: What goes on behind the scenes,UC83jt4dlz1Gjl58fzQrrKZg,CNA,2020-05-29T16:34:40Z,One of Singapore's 13 public and private labs approved to run COVID-19 tests has said it will conduct up to five times more tests over the next few weeks.
dYPB4Tje6-s,Coping with Mood Disorders during the Pandemic (Webinar),UCb33_SIV4yrq3kWpbEYDDcA,IMHsingapore,2020-06-27T03:08:43Z,"Living with a mental health condition can pose a challenge even in “normal” times. As the COVID-19 pandemic wears on, how can those living with Mood ..."
Bl3gMV4K960,Mental Health Training for Frontline Workers - An Introduction,UCb33_SIV4yrq3kWpbEYDDcA,IMHsingapore,2020-07-22T05:48:14Z,"The COVID-19 pandemic has affected people around the world. Apart from the clinical syndrome associated with the infection, it has disrupted the lives of many."
bnP1zMjLdxE,Mental Health And Well-Being Of Adolescents Around The World During COVID-19,UCAUTo94Mt0Si2CPUaFh8U_Q,sradolescence,2020-12-18T15:21:49Z,"The COVID-19 pandemic has led to significant changes in the lives of adolescents around the world as a result of stay-at-home orders, social distancing ..."
y4fzwU9aHJc,Coping with the Mental Health Impacts of COVID-19 Webinar,UCJeoI0uTW-VLY7Ujo8OIJuQ,ICDFR CSUSB,2021-02-26T03:17:38Z,This webinar discusses the psychological consequences of COVID-19 and ways to manage psychological distress during the pandemic. #covid19 ...
Qo6OTQRis-k,VOS x MSC Navigating the Pandemic Webinar Highlights,UCqWXvKDxbm3JOPZm9ge1Gow,Voices of Singapore,2021-06-30T04:20:07Z,"Jointly organised by Voices of Singapore and Mind Science Centre, the Navigating the Pandemic Webinar aims to enhance your mental resilience and help you ..."
K-Upj9K1rhc,WEBINAR TOPIC : MENTAL HEALTH ISSUES CAN AFFECT ANYONE ANYTIME,UCXR3D9Z3Im2Wh3QA9qlR0eA,Youtube PIDC,2020-08-09T04:19:34Z,"PIDC WEBINAR SERIES #03 GUEST SPEAKER : DR. ARVINDER SINGH HS MEDICAL OFFICER (RESEARCH), CRC SUNGAI BULOH, HOSPITAL SUNGAI ..."
AHXuF-cslOQ,Mental Health Resilience for Health Care Workers,UCA24Q1QQmshRuX-pKzVWtWA,NIOH South Africa,2021-05-04T13:23:10Z,This free COVID-19 training webinar took place on 04 May 2021 and covered topics related to Mental Health Resilience for Health Care Workers during the time ...
ff6QSgWqVt0,7 Pitstop Tips for Your Mental Wellbeing During COVID-19,UCuUqyOBhA-IAZMl8_CWhlHg,NUS Office of Student Affairs,2020-04-20T01:18:27Z,"By practising these 7 tips daily, it will enhance your mental wellbeing and productivity of your student life during the circuit breaker and beyond. For more ..."
0MFWGYR1hkQ,Community Town Hall: COVID-19 and kids,UCGRnlf-yBeOMBpGauFnP43A,Children's Mercy Kansas City,2020-06-19T12:36:09Z,Watch as Children's Mercy medical experts share information on: how Children's Mercy and community pediatricians are modifying practices to ensure safety for ...
5NGrB6ZMLZQ,Covid and Coping: Mental Health and Quarantine,UC6erZmWBgPGTrUp0wB1CsAw,Youtility,2020-04-24T23:33:52Z,"In this video, I go over some of the issues Covid-19 and quarantine/social isolation might cause as well as some of the ways to help you cope with this unique ..."
UgrSuaXPf6o,Losing Her Only Child To Suicide: Jenny Teo - PleaseStay. Movement | ZULA Features | EP 34,UCmLH91Sri-NyfI6Cgq5ydAQ,ZULA,2020-09-04T10:00:06Z,"Content warning: The following video deals with the topic of suicide. In 2018, Jenny Teo lost her 20-year-old son to suicide. As part of her healing process, Jenny ..."
OyoOjCnrsGU,Mental Health Strategies to Combat COVID-19 | Dr Cornelia Chee,UCNRdY7g4XX5NVBNV2v_NmJg,NUS Medicine,2020-07-10T01:29:08Z,"In this webinar session, Dr Cornelia Chee, Head & Senior Consultant at the Department of Psychological Medicine at NUS Medicine and the National University ..."
mdX61H4Rsnw,Inside Tan Tock Seng Hospital&#39;s Fight Against The COVID-19 Pandemic,UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,2020-09-13T16:46:52Z,Tan Tock Seng Hospital (TTSH) and The National Centre for Infectious Diseases (NCID) are ground zero for the COVID-19 outbreak in Singapore. (Update: On ...
E11NxwKBp2A,"The Science of Social Distancing, Part 2",UCyChWTXdEjQuqfoGXn7c97Q,American Public Health Association,2020-04-02T02:33:14Z,"The second COVID-19 Conversations webinar discussed benefit-risk analysis of social/physical distancing strategies, including for vulnerable populations; ..."
_FkqJr-1Ab8,Ask the Psychologist: T1D &amp; Mental Health during the COVID-19 outbreak,UCIA68RJV5TK8FYVRtHTLH5g,JDRFCanada,2020-04-07T13:35:45Z,"Dr. Tricia Tang, Associate Professor of Medicine at UBC, specializes in mental health in the T1D community. During our Facebook Live, she addressed ..."
5amGcHMKB0A,"Culture, Equality and Mental Health – Prof Kate Pickett &amp; Prof Richard Wilkinson",UCfTRIf4-HYqucAxDx99rQig,The Weekend University,2020-10-26T11:51:28Z,Get early access to our latest psychology lectures: http://bit.ly/new-talks5 Why is the incidence of mental illness in the UK twice that in Germany? Why are ...
ATG4AbDyOEM,How Has Singapore&#39;s Nightlife Coped With COVID-19? | On The Red Dot | Full Episode,UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,2021-01-27T12:00:08Z,"Unable to resume full operations since COVID-19, how is our once-vibrant nightlife changing to stay afloat? For nightlife icon Zouk, sweating bodies still move ..."
DFRA3vX2Eh0,Sexuality and My Teenage Children with Autism,UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,2020-06-15T04:09:52Z,"At 10 and 11, her daughters who have severe autism started to masturbate, at times while they were in school or out in the public. ""I never thought that sexuality ..."
lAu149dI93c,Burnout &amp; Self care in Challenging Times | Dr Darryl Tan,UC1hp0pDwWzZPeKqq4K0LoeQ,Brahm Centre,2021-04-13T03:50:47Z,"Speaker: Dr Darryl Tan, Psychiatry Dept, Ng Teng Fong General Hospital It's been over a year since the outbreak of COVID-19. Though we have all moved into a ..."
jJWVov0XeN0,PART 1: A Dose of Mental Health:  Tips that could Make a  Difference during COVID-19 Pandemic,UCf8TB2YI1aW8kcbwr0lIReQ,People Management Association of the Philippines,2020-08-20T09:12:57Z,"HAPPENING NOW: A Dose of Mental Health: Tips that could Make a Difference during COVID-19 Pandemic For updates, please subscribe to our channel by ..."
ATCGtGoV4cs,Ask TSL: Do LGBTQ+ Relationships Last?,UCdfhBqMbNjuMNkMNxLrehWA,TheSmartLocal,2020-06-15T10:00:05Z,"It's Pride Month, and we are back in the studio with an episode of Ask TSL: LGBT-Related Questions, where we answered several questions from IG! *This video ..."
zncETgt4ZQY,96% of students in Singapore participated in first week of full home-based learning,UC83jt4dlz1Gjl58fzQrrKZg,CNA,2020-04-15T15:39:01Z,96% of students in Singapore -- from primary to junior college level -- have been taking part in full home-based learning (HBL). The other 4% were mainly on ...
CLaWK1xnsxM,Nick Jonsson - Keynote Executive Loneliness. Mental Health &amp; Wellbeing at EuroCham Singapore 17/8/20,UCyh9nZIebHurwiPS8PcToiw,EGN Singapore - Executives' Global Network,2020-09-03T06:06:46Z,"Nick Jonsson - Keynote Executive Loneliness. Mental Health & Wellbeing at EuroCham Singapore on August 17, 2020. Global health crises often trigger ..."
TharR5lZs_o,Mental Health and Viral Pandemics,UC24JvGVBmhfr7_EiMcA6hug,Clinical Education Initiative,2020-06-26T14:00:18Z,"Hansel Arroyo, MD, reviews the history of psychological issues that arise during pandemics and quarantine, the role of mental health providers during these ..."
r3esYTaVwY4,Expert Insights: COVID-19 and its impact on Mental Health in Gulf Societies,UCuGtvml6UBegpKQjf0wfiTA,Center for International and Regional Studies,2020-05-07T11:22:48Z,"Interviews and panel discussions with regional scholars and experts are published to give insight into various government responses to the COVID-19, with a ..."
L5T3XY9D4n0,"In Conversation: Singapore Beyond the Circuit Breaker, with Huzir Sulaiman and Joanne Yoong",UCI0rCR2L4h8Sj-GacuBvZ7g,Checkpoint Theatre,2020-06-01T03:39:23Z,"What are the implications of the global pandemic for how we organise society in Singapore? Hosted on Checkpoint Theatre's Facebook Live on 28 May 2020, ..."
tyh_TAqtQpo,Wellness &amp; Real Estate 2020: Fitness and leisure in the social distancing era,UC55CE-a0eWNxHmVgyicC36g,PropertyGuru Asia Real Estate Summit,2020-08-14T10:28:02Z,"The latest installment of the PropertyGuru Asia Real Estate Summit webinar series assesses the intersection of real estate, fitness, leisure, and wellness during ..."
